T Epair Epair_se Ebond Ebond_se
10.0 -5193.645942497863 69.029013818409425 50834.374393219798 166.37893282225616
10.0 -5164.8174801631121 62.820057188973443 50659.504277952779 200.50259191188829
10.0 -5192.2582441446039 52.895298865268167 50764.068608592475 126.58108746726992
10.0 -5247.6992492007548 57.368323820164747 50645.951394068798 146.55001953051328
10.0 -4958.7126603518036 62.43494560673993 50400.51020203915 136.23238150121253
5.0 -8072.7106156140726 36.079143437745792 25122.936576774278 93.612236945343938
5.0 -7829.3783004896786 26.880538241233953 25075.299090901179 73.180410864077885
5.0 -7923.2579500652882 36.431669352175824 25034.218291551042 84.510188277150235
7.5 -6541.3142405228264 54.400621849099302 37862.168262373962 112.79094618815012
7.5 -6533.4786573263082 48.578005862961845 37825.793359979085 94.82810987279187
7.5 -6498.8158341871404 45.499059752557514 38014.058974030355 144.22746317661597
7.5 -6340.4508826618239 47.38684433703537 37532.364302269954 131.94811284932143
