
-406000.0 -400000.0  19 26 156625
-412000.0 -403000.0  16 26 77543.6
-418000.0 -409000.0  26 26429.3
-424000.0 -415000.0  15 26 59620.4
-430000.0 -421000.0  24 26 51359.7
-436000.0 -427000.0  20 26 57938.8
-442000.0 -433000.0  26 39783.6
-448000.0 -439000.0  26 45889.9
-454000.0 -445000.0  26 26276.4
-460000.0 -451000.0  26 22066.5
-466000.0 -457000.0  26 24723.4
-472000.0 -463000.0  26 20292.9
-478000.0 -469000.0  26 25709.8
-484000.0 -475000.0  26 16505.8
-490000.0 -481000.0  26 20484.2
-496000.0 -487000.0  26 25892
-502000.0 -493000.0  26 17593.1
-508000.0 -499000.0  26 29836.1
-514000.0 -505000.0  26 28715.4
-520000.0 -511000.0  26 33789.1
-526000.0 -517000.0  26 47926.4
-532000.0 -523000.0  26 42099.4
-538000.0 -529000.0  26 26697.7
-544000.0 -535000.0  26 27704
-550000.0 -541000.0  26 29341.7
-556000.0 -547000.0  26 25719.3
-562000.0 -553000.0  26 47640.2
-568000.0 -559000.0  26 43060.1
-574000.0 -565000.0  26 36528
-580000.0 -571000.0  26 16024.9
-586000.0 -577000.0  26 34905.7
-592000.0 -583000.0  26 22995.9
-598000.0 -589000.0  26 45094.2
-604000.0 -595000.0  26 36174.6
-610000.0 -601000.0  25 26 71714.7
-616000.0 -607000.0  26 60183.9
-622000.0 -613000.0  26 23453.9
-628000.0 -619000.0  26 28254.2
-634000.0 -625000.0  26 75663.9
-640000.0 -631000.0  26 72633.9
-646000.0 -637000.0  26 22057
-652000.0 -643000.0  26 31607.1
-658000.0 -649000.0  26 25131.9
-664000.0 -655000.0  26 20486.4
-670000.0 -661000.0  26 56951
-676000.0 -667000.0  26 89207.8
-682000.0 -673000.0  26 122280
-688000.0 -679000.0  26 126991
-694000.0 -685000.0  26 135980
-700000.0 -691000.0  26 122108
-706000.0 -697000.0  26 99909.6
-712000.0 -703000.0  26 33159.2
-718000.0 -709000.0  26 30692.4
-724000.0 -715000.0  26 197584
-730000.0 -721000.0  26 181238
-736000.0 -727000.0  26 31561.2
-742000.0 -733000.0  26 32439.5
-748000.0 -739000.0  26 44293.7
-754000.0 -745000.0  25 26 15483.6
-760000.0 -751000.0  26 46841.8
-766000.0 -757000.0  26 49647.9
-772000.0 -763000.0  26 186866
-778000.0 -769000.0  26 141113
-784000.0 -775000.0  26 231600
-790000.0 -781000.0  25 26 82588.4
-796000.0 -787000.0  26 206399
-802000.0 -793000.0  22 25 26 259128
-808000.0 -799000.0  26 112630
-814000.0 -805000.0  26 86329.4
-820000.0 -811000.0  26 119922
-826000.0 -817000.0  19 23 24 24 24 24 25 25 25 26 1
-832000.0 -823000.0  23 26 26 26 26 26 26 26 47016.6
-838000.0 -829000.0  23 26 26 26 26 26 26 26 45738.9
-844000.0 -835000.0  26 174616
-850000.0 -841000.0  26 70486.4
-856000.0 -847000.0  22 24 26 204222
-862000.0 -853000.0  25 25 26 1
-868000.0 -859000.0  20 26 91378.2
-874000.0 -865000.0  18 26 219317
-880000.0 -871000.0  20 24 25 25 25 25 25 25 25 25 25 26 1
-886000.0 -877000.0  21 25 26 1
-892000.0 -883000.0  23 25 25 26 1
-898000.0 -889000.0  20 24 25 25 25 25 25 25 25 26 1
-904000.0 -895000.0  21 24 25 25 25 25 26 1
-910000.0 -901000.0  20 23 24 24 24 24 24 24 24 24 25 25 25 25 1
-916000.0 -907000.0  20 24 25 25 25 26 1
-922000.0 -913000.0  17 22 22 22 22 22 23 23 26 1
-928000.0 -919000.0  19 23 24 24 24 24 24 24 24 24 24 25 25 25 1
-934000.0 -925000.0  19 23 23 23 23 23 23 23 24 24 24 24 24 24 1
-940000.0 -931000.0  17 21 22 22 22 22 22 22 22 22 26 1
-946000.0 -937000.0  19 22 23 23 23 23 23 23 23 23 23 23 24 24 1
-952000.0 -943000.0  17 20 21 21 21 26 1
-958000.0 -949000.0  18 22 23 23 23 23 23 23 23 23 23 23 23 23 1
-964000.0 -955000.0  17 21 22 25 26 1
-970000.0 -961000.0  16 26 1
-976000.0 -967000.0  23 26 26 26 26 26 26 1
-982000.0 -973000.0  16 26 1
-988000.0 -979000.0  23 26 26 26 26 26 26 1
-994000.0 -985000.0  2 2 3 5 5 8 12 13 15 17 20 23 25 23 1
