mode Nc rep time_per_step tot_time numb_try numb_succ auto_time_sec Emean Ese count conv_crit
par 100 1 1.0098766763573122e-05 8416.7457511060002 833442909 206982716 42.32090187610629 -8795.854638841034 10.722845966446352 166 0.0996258297799949
par 100 2 1.0030604745382618e-05 8374.0869791280002 834853628 207554205 41.734638082255515 -8730.809509171697 11.811703426881246 166 0.07208701909051252
par 100 3 1.0022543768400595e-05 8366.7146979669997 834789520 207459558 185.90996841794095 -8703.487514594271 20.854435722399952 41 0.12862379720652103
par 100 4 1.0645977912728721e-05 8756.4890811290006 822516172 203818411 140.84181647467813 -8865.273072347516 20.62601844481688 55 0.055511365607740205
par 100 5 1.0179699316448671e-05 8471.5246894779993 832197954 206673107 59.74943974691632 -8788.429151577815 14.596984201451617 125 0.01168724699910573
par 1100 1 2.1741826983298461e-06 40863.210699117997 18794742990 4635167152 102.7427210139067 -96352.6529378324 25.155877389012137 333 -0.003226622952655185
par 1100 2 2.1768127199553313e-06 40903.208649052001 18790409947 4634233766 533.3088853692716 -96471.79651489745 47.08351445724041 71 0.13469631064505097
par 1100 3 2.1896951605626643e-06 41133.190406403002 18784894885 4633268715 1155.8464219990128 -96343.70814334323 99.27030341572357 34 0.16551804669526465
par 1100 4 2.1705721429430716e-06 40816.785194668999 18804621636 4637352434 410.86853428371614 -96145.70471842974 42.48171417624765 90 0.10917417899676314
par 1100 5 2.19447290405071e-06 41265.648289106997 18804354525 4637215312 475.7267895895602 -96310.6021055179 58.21703608092379 83 0.13673156839398068
par 200 1 4.933926465588378e-06 8125.3342195610003 1646829364 408327748 65.04819577261242 -17349.535421416935 18.558449859457923 100 0.024267005742423076
par 200 2 5.0429360430003727e-06 8247.9295115219993 1635541183 405483112 248.67978362045596 -17588.154498040378 40.652995595835336 31 0.16391513065956714
par 200 3 5.0059862600232694e-06 8214.4194655989995 1640919384 406240185 49.298852568983875 -17542.631346957747 19.399453091743997 125 -0.014876221126171613
par 200 4 5.0330622395553106e-06 8235.3867895069998 1636257767 405331590 363.8147529943881 -17531.993222636596 34.929668492002044 21 0.22736475567619605
par 200 5 5.1416231238129731e-06 8375.1109736670005 1628884687 402866649 168.45129643683504 -17573.512500405526 32.90922516752535 45 0.111503461752848
par 2000 1 2.2175752522724716e-06 37817.166024327998 17053387607 4198687359 342.321858215706 -175709.4785746546 64.90579677586835 100 0.010790649398058351
par 2000 2 1.4538716861799604e-06 31275.980257235999 21512196573 5303459812 2013.6603212797563 -451744.58356308163 441.96324610256477 14 0.3478811289397082
par 2000 3 1.4755284446152339e-06 31706.264919022 21488080821 5295465528 1912.9255239167087 -451764.7813995065 407.0884533494217 15 0.286527118534966
par 2000 4 1.489160986705296e-06 32043.64844881 21517920794 5304391170 1998.266394982571 -451933.28041646845 418.1619524804318 15 0.2558107485236169
par 2000 5 1.4533652910133748e-06 31270.504873140999 21515933625 5302969847 2073.6513945935385 -452013.1996008087 473.2764745926555 14 0.3288313880533914
par 5100 1 1.4888221295254048e-06 32043.486007226998 21522711249 5306277409 1417.8507676866575 -451832.32300591504 305.9075082530336 20 0.028514807268350872
par 5100 2 1.4852799450904703e-06 31953.105716238999 21513186548 5302633256 1990.4347940153275 -451575.7980144034 578.7463142619404 15 0.33345929441440886
par 5100 3 1.4886026225701087e-06 32064.111021829001 21539732905 5310557013 1419.8686442628932 -451262.45096030645 248.37493414283225 20 0.14389818326672718
par 5100 4 1.4775024363587411e-06 31803.347331034001 21525079039 5306939590 2111.1362561275673 -451429.106081895 447.25529108698845 14 0.3247310190005168
par 5100 5 1.4774033905577435e-06 31744.248881053001 21486519846 5294940736 2169.5893503396182 -452647.2377866348 566.0686639019907 13 0.35255779534484794
par 550 1 3.223844441944964e-06 29186.584497876 9053348889 2247311450 146.33910031520827 -48021.399896469025 26.181776693754944 166 -0.0035102408121902686
par 550 2 3.2429990046377073e-06 29273.869710767001 9026789619 2238356236 249.82887123090222 -48245.75339091565 31.4105930964977 111 0.0791477095885667
par 550 3 3.2299471681565891e-06 29199.126235432999 9040125499 2242183761 645.741018394614 -48063.003406468866 52.91129852711591 43 0.16397424118035692
par 550 4 3.2240300948248001e-06 29141.478765807002 9038836104 2242534544 336.67172843435037 -48141.13446098196 39.7437230677878 83 0.08848525818763193
par 550 5 3.2222071808397239e-06 29168.403813102999 9052306016 2246375957 160.707099813304 -47940.292984870764 24.909430648531227 166 0.06962979646680026
par 9000 1 1.2661101752689419e-06 47404.234909266001 37440850249 9254008043 3241.9791020659213 -797413.9406129401 702.1428661759389 13 0.3913690376833924
par 9000 2 1.2610154256867053e-06 47196.536450981002 37427418746 9253804931 3319.167402365714 -798230.7587052342 787.1895654806966 13 0.450614421617651
par 9000 3 1.2735460085546844e-06 47780.730883659999 37517868128 9279085436 3266.7490512332624 -795167.4609676509 524.468611176324 13 0.2974036082976691
par 9000 4 9.2131274139741952e-07 34442.100260045998 37383712440 9259223143 2287.766946928419 -798109.4842742059 601.9033115585247 14 0.38561842831466936
par 9000 5 9.272698394385482e-07 34730.053973772003 37454089934 9279286170 2374.542451229492 -796954.6113100195 788.63136159139 13 0.3800507998651904
ser 100 1 6.5846503477493494e-05 10114.022922837001 153600000 52927177 252.85057335357487 -8745.395515774802 24.907419254342123 38 0.15782131551092202
ser 100 2 6.6133163233645837e-05 10158.053861683 153600000 52850547 132.05470034494374 -8744.780079338252 15.835563169245962 71 0.013204074822944828
ser 100 3 6.5031683364492185e-05 9988.8665519440001 153600000 52908619 59.933199388716275 -8725.150440585281 13.784008765872759 125 0.03356307569290309
ser 100 4 6.6680010307936191e-05 10242.049569928 153600000 52725677 61.45229749979444 -8806.346660510846 13.552232193739824 125 -0.0351740728181032
ser 100 5 6.6314682867122388e-05 10185.935277638 153599999 52829121 397.2514762472092 -8867.704805116558 26.996739168726386 25 0.23592778702053266
ser 1100 1 5.5411641000892775e-05 96948.207084110007 1749599999 598584960 5429.09959732907 -96159.94687784376 166.75112854938348 17 0.4008994762829216
ser 1100 2 6.1349255689331847e-05 107336.657742355 1749599990 599220010 4830.1495989324685 -95816.3809105386 126.30000980770598 21 0.21436966416412936
ser 1100 3 6.1359258274680498e-05 107354.158268869 1749600007 598643011 3327.978906598808 -96098.57288360801 75.06985102457936 31 0.10392709010535747
ser 1100 4 5.6372249286168837e-05 98628.887345436 1749600008 598737794 3945.1554940432397 -96078.9661406079 98.98705640628 23 0.2534624549074179
