P2 Q6 xi delF
8.100000000000000000e+01 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.200000000000000000e+01 2.000000000000000000e+00 1.703577512776831369e-03 1.020046275002073344e-03
8.300000000000000000e+01 2.000000000000000000e+00 3.407155025553662737e-03 1.359627862502321705e-03
8.400000000000000000e+01 2.000000000000000000e+00 5.110732538330494540e-03 4.976983799998890845e-03
8.500000000000000000e+01 2.000000000000000000e+00 6.814310051107325475e-03 6.566592838851192937e-03
8.600000000000000000e+01 2.000000000000000000e+00 8.517887563884156410e-03 5.930436163847474518e-03
8.700000000000000000e+01 2.000000000000000000e+00 1.022146507666098908e-02 6.294180613849675865e-03
8.800000000000000000e+01 2.000000000000000000e+00 1.192504258943782001e-02 6.832101388848599299e-03
8.900000000000000000e+01 2.000000000000000000e+00 1.362862010221465095e-02 6.923320438851021663e-03
9.000000000000000000e+01 2.000000000000000000e+00 1.533219761499148188e-02 7.836189988847053201e-03
9.100000000000000000e+01 2.000000000000000000e+00 1.703577512776831282e-02 7.466107738846261554e-03
9.200000000000000000e+01 2.000000000000000000e+00 1.873935264054514549e-02 7.616856838847496647e-03
9.300000000000000000e+01 2.000000000000000000e+00 2.044293015332197816e-02 8.195181088847647288e-03
9.400000000000000000e+01 2.000000000000000000e+00 2.214650766609880736e-02 8.018854438848421751e-03
9.500000000000000000e+01 2.000000000000000000e+00 2.385008517887564003e-02 8.856802138847541528e-03
9.600000000000000000e+01 2.000000000000000000e+00 2.555366269165246923e-02 8.570129863848308105e-03
9.700000000000000000e+01 2.000000000000000000e+00 2.725724020442930190e-02 8.827489813846511879e-03
9.800000000000000000e+01 2.000000000000000000e+00 2.896081771720613457e-02 9.491034838848833033e-03
9.900000000000000000e+01 2.000000000000000000e+00 3.066439522998296377e-02 9.865757263849417313e-03
1.000000000000000000e+02 2.000000000000000000e+00 3.236797274275979297e-02 1.030747928884778730e-02
1.010000000000000000e+02 2.000000000000000000e+00 3.407155025553662564e-02 1.133341066384829787e-02
1.020000000000000000e+02 2.000000000000000000e+00 3.577512776831345831e-02 1.114237126384765020e-02
1.030000000000000000e+02 2.000000000000000000e+00 3.747870528109029098e-02 1.142225303884458754e-02
1.040000000000000000e+02 2.000000000000000000e+00 3.918228279386712365e-02 1.151381161384534835e-02
1.050000000000000000e+02 2.000000000000000000e+00 4.088586030664395632e-02 1.275534136384948170e-02
1.060000000000000000e+02 2.000000000000000000e+00 4.258943781942078205e-02 1.265789768884673094e-02
1.070000000000000000e+02 2.000000000000000000e+00 4.429301533219761472e-02 1.407575408885008983e-02
1.080000000000000000e+02 2.000000000000000000e+00 4.599659284497444739e-02 1.426373776384792791e-02
1.090000000000000000e+02 2.000000000000000000e+00 4.770017035775128006e-02 1.487012941384335818e-02
1.100000000000000000e+02 2.000000000000000000e+00 4.940374787052811273e-02 1.494482491385085154e-02
1.110000000000000000e+02 2.000000000000000000e+00 5.110732538330493846e-02 1.506626168884395156e-02
1.120000000000000000e+02 2.000000000000000000e+00 5.281090289608177113e-02 1.641485498884875938e-02
1.130000000000000000e+02 2.000000000000000000e+00 5.451448040885860380e-02 1.583019293884646572e-02
1.140000000000000000e+02 2.000000000000000000e+00 5.621805792163543647e-02 1.631820353884805286e-02
1.150000000000000000e+02 2.000000000000000000e+00 5.792163543441226914e-02 1.582464736384636694e-02
1.160000000000000000e+02 2.000000000000000000e+00 5.962521294718909487e-02 1.670016916384753358e-02
1.170000000000000000e+02 2.000000000000000000e+00 6.132879045996592754e-02 1.683530011385059311e-02
1.180000000000000000e+02 2.000000000000000000e+00 6.303236797274276715e-02 1.894839053884922464e-02
1.190000000000000000e+02 2.000000000000000000e+00 6.473594548551958594e-02 1.852556873884836364e-02
1.200000000000000000e+02 2.000000000000000000e+00 6.643952299829641861e-02 1.936374278884755995e-02
1.210000000000000000e+02 2.000000000000000000e+00 6.814310051107325128e-02 1.814201866384834716e-02
1.220000000000000000e+02 2.000000000000000000e+00 6.984667802385008395e-02 1.988163158884503900e-02
1.230000000000000000e+02 2.000000000000000000e+00 7.155025553662691662e-02 2.147988893884900108e-02
1.240000000000000000e+02 2.000000000000000000e+00 7.325383304940374929e-02 2.038842923884587321e-02
1.250000000000000000e+02 2.000000000000000000e+00 7.495741056218058196e-02 2.168394346384872051e-02
1.260000000000000000e+02 2.000000000000000000e+00 7.666098807495741463e-02 2.224053811384862911e-02
1.270000000000000000e+02 2.000000000000000000e+00 7.836456558773424730e-02 2.195941141384949447e-02
1.280000000000000000e+02 2.000000000000000000e+00 8.006814310051107997e-02 2.243746261384771401e-02
1.290000000000000000e+02 2.000000000000000000e+00 8.177172061328791264e-02 2.354057933884590170e-02
1.300000000000000000e+02 2.000000000000000000e+00 8.347529812606473143e-02 2.370094831384861322e-02
1.310000000000000000e+02 2.000000000000000000e+00 8.517887563884156410e-02 2.469371941385034575e-02
1.320000000000000000e+02 2.000000000000000000e+00 8.688245315161839677e-02 2.434706438884504109e-02
1.330000000000000000e+02 2.000000000000000000e+00 8.858603066439522944e-02 2.555022781384863606e-02
1.340000000000000000e+02 2.000000000000000000e+00 9.028960817717206211e-02 2.569452593884591352e-02
