T U C_V $Q_{6}$ $P_{2}$
1.000000000000000056e-01 -7.199349973406539220e+02 6.543568556662648028e+00 4.105946876100890486e-01 8.140165195453300528e-01
1.000900090009000931e-01 -7.199344062013580015e+02 6.591590068432410909e+00 4.105945503213918046e-01 8.140150931186364014e-01
1.001800180018001807e-01 -7.199338107279418182e+02 6.639872842563401711e+00 4.105944121265607261e-01 8.140136553188817015e-01
1.002700270027002821e-01 -7.199332108968501416e+02 6.688417828240978302e+00 4.105942730223876569e-01 8.140122060702578155e-01
1.003600360036003697e-01 -7.199326066844504339e+02 6.737225693704821161e+00 4.105941330056798733e-01 8.140107452965229529e-01
1.004500450045004573e-01 -7.199319980670287578e+02 6.786297492153423150e+00 4.105939920732617487e-01 8.140092729209967848e-01
1.005400540054005448e-01 -7.199313850207928454e+02 6.835634076690046079e+00 4.105938502219732555e-01 8.140077888665618877e-01
1.006300630063006324e-01 -7.199307675218710756e+02 6.885236314774693334e+00 4.105937074486720184e-01 8.140062930556591914e-01
1.007200720072007200e-01 -7.199301455463120192e+02 6.935105105295747308e+00 4.105935637502325375e-01 8.140047854102854252e-01
1.008100810081008214e-01 -7.199295190700852345e+02 6.985241332454904750e+00 4.105934191235474651e-01 8.140032658519941178e-01
1.009000900090009090e-01 -7.199288880690804717e+02 7.035645791557887385e+00 4.105932735655273835e-01 8.140017343018886020e-01
1.009900990099009965e-01 -7.199282525191063087e+02 7.086319543638298413e+00 4.105931270731011384e-01 8.140001906806236809e-01
1.010801080108010841e-01 -7.199276123958941298e+02 7.137263292103212642e+00 4.105929796432175038e-01 8.139986349084026296e-01
1.011701170117011717e-01 -7.199269676750923281e+02 7.188478108133079303e+00 4.105928312728430729e-01 8.139970669049719776e-01
1.012601260126012592e-01 -7.199263183322718760e+02 7.239964740510750119e+00 4.105926819589656995e-01 8.139954865896251723e-01
1.013501350135013607e-01 -7.199256643429217775e+02 7.291724151137871424e+00 4.105925316985922779e-01 8.139938938811933644e-01
1.014401440144014482e-01 -7.199250056824516832e+02 7.343757202016361063e+00 4.105923804887509077e-01 8.139922886980490713e-01
1.015301530153015358e-01 -7.199243423261908674e+02 7.396064729524826298e+00 4.105922283264907824e-01 8.139906709581008482e-01
1.016201620162016234e-01 -7.199236742493867496e+02 7.448647758824269438e+00 4.105920752088818571e-01 8.139890405787904015e-01
1.017101710171017109e-01 -7.199230014272079643e+02 7.501507125188244807e+00 4.105919211330166241e-01 8.139873974770934772e-01
1.018001800180018124e-01 -7.199223238347418601e+02 7.554643705950699228e+00 4.105917660960095028e-01 8.139857415695149756e-01
1.018901890189018999e-01 -7.199216414469940446e+02 7.608058481796389216e+00 4.105916100949978387e-01 8.139840727720880631e-01
1.019801980198019875e-01 -7.199209542388915679e+02 7.661752172036166542e+00 4.105914531271419032e-01 8.139823910003709528e-01
1.020702070207020751e-01 -7.199202621852775792e+02 7.715725845883490308e+00 4.105912951896258378e-01 8.139806961694450171e-01
1.021602160216021626e-01 -7.199195652609159879e+02 7.769980361641354527e+00 4.105911362796577091e-01 8.139789881939135663e-01
1.022502250225022502e-01 -7.199188634404894174e+02 7.824516568967531782e+00 4.105909763944702306e-01 8.139772669878975186e-01
1.023402340234023516e-01 -7.199181566985982954e+02 7.879335464550103474e+00 4.105908155313207630e-01 8.139755324650348456e-01
1.024302430243024392e-01 -7.199174450097623321e+02 7.934437869028339918e+00 4.105906536874921464e-01 8.139737845384781290e-01
1.025202520252025268e-01 -7.199167283484202926e+02 7.989824694351087331e+00 4.105904908602935888e-01 8.139720231208920076e-01
1.026102610261026143e-01 -7.199160066889279506e+02 8.045496854509329054e+00 4.105903270470601107e-01 8.139702481244507348e-01
1.027002700270027019e-01 -7.199152800055597936e+02 8.101455320691306028e+00 4.105901622451532673e-01 8.139684594608354029e-01
1.027902790279027895e-01 -7.199145482725085685e+02 8.157700988550864452e+00 4.105899964519629797e-01 8.139666570412334989e-01
1.028802880288028909e-01 -7.199138114638861907e+02 8.214234678853147287e+00 4.105898296649058143e-01 8.139648407763363513e-01
1.029702970297029785e-01 -7.199130695537203337e+02 8.271057429074438971e+00 4.105896618814272037e-01 8.139630105763340229e-01
1.030603060306030661e-01 -7.199123225159588628e+02 8.328170036640255347e+00 4.105894930990008906e-01 8.139611663509171979e-01
1.031503150315031536e-01 -7.199115703244652877e+02 8.385573493184789839e+00 4.105893233151301502e-01 8.139593080092716315e-01
1.032403240324032412e-01 -7.199108129530224005e+02 8.443268687946035911e+00 4.105891525273482334e-01 8.139574354600790373e-01
1.033303330333033287e-01 -7.199100503753295470e+02 8.501256534029257850e+00 4.105889807332178121e-01 8.139555486115109817e-01
1.034203420342034302e-01 -7.199092825650038776e+02 8.559537940975276982e+00 4.105888079303328109e-01 8.139536473712304376e-01
1.035103510351035178e-01 -7.199085094955795512e+02 8.618113825642982562e+00 4.105886341163180742e-01 8.139517316463870111e-01
1.036003600360036053e-01 -7.199077311405078490e+02 8.676985177210722711e+00 4.105884592888299767e-01 8.139498013436162749e-01
1.036903690369036929e-01 -7.199069474731579703e+02 8.736152823741011986e+00 4.105882834455581443e-01 8.139478563690372148e-01
1.037803780378037805e-01 -7.199061584668147589e+02 8.795617752423599001e+00 4.105881065842233446e-01 8.139458966282481223e-01
1.038703870387038819e-01 -7.199053640946815449e+02 8.855380827641333497e+00 4.105879287025811508e-01 8.139439220263288144e-01
1.039603960396039695e-01 -7.199045643298762798e+02 8.915443061304523908e+00 4.105877497984193880e-01 8.139419324678333068e-01
1.040504050405040570e-01 -7.199037591454351741e+02 8.975805342741695725e+00 4.105875698695612974e-01 8.139399278567907015e-01
1.041404140414041446e-01 -7.199029485143115608e+02 9.036468488047626479e+00 4.105873889138645372e-01 8.139379080967032998e-01
1.042304230423042322e-01 -7.199021324093727117e+02 9.097433594320797567e+00 4.105872069292224036e-01 8.139358730905419392e-01
1.043204320432043197e-01 -7.199013108034037032e+02 9.158701566549579454e+00 4.105870239135634425e-01 8.139338227407465487e-01
1.044104410441044212e-01 -7.199004836691066203e+02 9.220273210021089128e+00 4.105868398648530038e-01 8.139317569492221516e-01
1.045004500450045087e-01 -7.198996509790972596e+02 9.282149630931462170e+00 4.105866547810935741e-01 8.139296756173373115e-01
1.045904590459045963e-01 -7.198988127059101316e+02 9.344331600582419739e+00 4.105864686603248881e-01 8.139275786459230222e-01
1.046804680468046839e-01 -7.198979688219930040e+02 9.406820179734056708e+00 4.105862815006249833e-01 8.139254659352681553e-01
1.047704770477047714e-01 -7.198971192997112212e+02 9.469616228253478596e+00 4.105860933001100332e-01 8.139233373851196829e-01
1.048604860486048729e-01 -7.198962641113441805e+02 9.532720735030013159e+00 4.105859040569359020e-01 8.139211928946793462e-01
1.049504950495049604e-01 -7.198954032290881742e+02 9.596134626611348750e+00 4.105857137692981440e-01 8.139190323626024348e-01
1.050405040504050480e-01 -7.198945366250538882e+02 9.659858841580451383e+00 4.105855224354323374e-01 8.139168556869941229e-01
1.051305130513051356e-01 -7.198936642712678804e+02 9.723894267240931200e+00 4.105853300536152495e-01 8.139146627654090249e-01
1.052205220522052231e-01 -7.198927861396708749e+02 9.788241950341760145e+00 4.105851366221648369e-01 8.139124534948485312e-01
1.053105310531053107e-01 -7.198919022021195815e+02 9.852902744051519335e+00 4.105849421394413001e-01 8.139102277717585876e-01
1.054005400540054121e-01 -7.198910124303852172e+02 9.917877623968891498e+00 4.105847466038471949e-01 8.139079854920269197e-01
1.054905490549054997e-01 -7.198901167961530518e+02 9.983167571992472844e+00 4.105845500138285420e-01 8.139057265509833661e-01
1.055805580558055873e-01 -7.198892152710237724e+02 1.004877356058777771e+01 4.105843523678749940e-01 8.139034508433944382e-01
1.056705670567056748e-01 -7.198883078265128006e+02 1.011469641210738146e+01 4.105841536645207235e-01 8.139011582634647635e-01
1.057605760576057624e-01 -7.198873944340491562e+02 1.018093719555352017e+01 4.105839539023447005e-01 8.138988487048325338e-01
1.058505850585058500e-01 -7.198864750649764801e+02 1.024749682964239561e+01 4.105837530799715807e-01 8.138965220605687279e-01
1.059405940594059514e-01 -7.198855496905521250e+02 1.031437622928067377e+01 4.105835511960720385e-01 8.138941782231744471e-01
1.060306030603060390e-01 -7.198846182819480646e+02 1.038157645055378353e+01 4.105833482493637665e-01 8.138918170845793609e-01
1.061206120612061266e-01 -7.198836808102497571e+02 1.044909837939427177e+01 4.105831442386119745e-01 8.138894385361410411e-01
1.062106210621062141e-01 -7.198827372464567134e+02 1.051694295488522535e+01 4.105829391626290570e-01 8.138870424686397431e-01
1.063006300630063017e-01 -7.198817875614817012e+02 1.058511117910010846e+01 4.105827330202770353e-01 8.138846287722795170e-01
1.063906390639063893e-01 -7.198808317261506318e+02 1.065360403941931011e+01 4.105825258104666142e-01 8.138821973366845430e-01
1.064806480648064907e-01 -7.198798697112039235e+02 1.072242243676678619e+01 4.105823175321583474e-01 8.138797480508986881e-01
1.065706570657065783e-01 -7.198789014872947973e+02 1.079156731957927384e+01 4.105821081843640807e-01 8.138772808033827300e-01
1.066606660666066658e-01 -7.198779270249881392e+02 1.086103977548934374e+01 4.105818977661452318e-01 8.138747954820118036e-01
1.067506750675067534e-01 -7.198769462947641387e+02 1.093084062661792188e+01 4.105816862766165642e-01 8.138722919740754014e-01
1.068406840684068410e-01 -7.198759592670137408e+02 1.100097095701811334e+01 4.105814737149441895e-01 8.138697701662727102e-01
1.069306930693069424e-01 -7.198749659120422848e+02 1.107143168284295776e+01 4.105812600803477319e-01 8.138672299447151648e-01
1.070207020702070300e-01 -7.198739662000663202e+02 1.114222376719047070e+01 4.105810453721006614e-01 8.138646711949200085e-01
1.071107110711071175e-01 -7.198729601012163357e+02 1.121334818925490140e+01 4.105808295895302384e-01 8.138620938018117368e-01
1.072007200720072051e-01 -7.198719475855339169e+02 1.128480589352745156e+01 4.105806127320191790e-01 8.138594976497184330e-01
1.072907290729072927e-01 -7.198709286229725421e+02 1.135659797210990618e+01 4.105803947990055991e-01 8.138568826223715469e-01
1.073807380738073802e-01 -7.198699031833987192e+02 1.142872530000185627e+01 4.105801757899836257e-01 8.138542486029018974e-01
1.074707470747074817e-01 -7.198688712365910760e+02 1.150118885943991565e+01 4.105799557045053394e-01 8.138515954738418934e-01
1.075607560756075692e-01 -7.198678327522386553e+02 1.157398969370759190e+01 4.105797345421794420e-01 8.138489231171195382e-01
1.076507650765076568e-01 -7.198667876999433020e+02 1.164712874085889815e+01 4.105795123026731996e-01 8.138462314140582077e-01
1.077407740774077444e-01 -7.198657360492179578e+02 1.172060698000050216e+01 4.105792889857130534e-01 8.138435202453779826e-01
1.078307830783078319e-01 -7.198646777694870025e+02 1.179442543093608720e+01 4.105790645910846748e-01 8.138407894911893203e-01
1.079207920792079334e-01 -7.198636128300863675e+02 1.186858502387335434e+01 4.105788391186345199e-01 8.138380390309947199e-01
1.080108010801080209e-01 -7.198625412002628536e+02 1.194308676979478889e+01 4.105786125682700516e-01 8.138352687436865018e-01
1.081008100810081085e-01 -7.198614628491739040e+02 1.201793166513220612e+01 4.105783849399599061e-01 8.138324785075434775e-01
1.081908190819081961e-01 -7.198603777458873765e+02 1.209312074657438352e+01 4.105781562337353363e-01 8.138296682002319482e-01
