T U C_V $Q_{6}$ $P_{2}$ $n_{Q_{6}}$
1.000000000000000056e-01 -7.199001322265393128e+02 9.808027738472445023e+00 3.375819826538664081e-01 7.559091775875478314e-01 2.722205848345538026e-02
1.000900090009000931e-01 -7.198992463577676517e+02 9.876029152495329200e+00 3.375815410491338486e-01 7.559080583157986588e-01 2.722322842369160473e-02
1.001800180018001807e-01 -7.198983543540030041e+02 9.944347404798401513e+00 3.375810965550703480e-01 7.559069304497562092e-01 2.722440618867913789e-02
1.002700270027002821e-01 -7.198974561866964450e+02 1.001298312982272698e+01 3.375806491612838300e-01 7.559057939301906393e-01 2.722559180709430843e-02
1.003600360036003697e-01 -7.198965518272481177e+02 1.008193687349405465e+01 3.375801988574170798e-01 7.559046486973511891e-01 2.722678530747344935e-02
1.004500450045004573e-01 -7.198956412470079158e+02 1.015120922668611136e+01 3.375797456331467439e-01 7.559034946909624075e-01 2.722798671820976860e-02
1.005400540054005448e-01 -7.198947244172736646e+02 1.022080073267521172e+01 3.375792894781858844e-01 7.559023318502141597e-01 2.722919606754877972e-02
1.006300630063006324e-01 -7.198938013092930532e+02 1.029071194503740294e+01 3.375788303822838121e-01 7.559011601137548553e-01 2.723041338358530780e-02
1.007200720072007200e-01 -7.198928718942623846e+02 1.036094343902344583e+01 3.375783683352275300e-01 7.558999794196845645e-01 2.723163869425880221e-02
1.008100810081008214e-01 -7.198919361433263475e+02 1.043149583426693461e+01 3.375779033268416773e-01 7.558987897055465810e-01 2.723287202734989143e-02
1.009000900090009090e-01 -7.198909940275793815e+02 1.050236964001014250e+01 3.375774353469899181e-01 7.558975909083193168e-01 2.723411341047598730e-02
1.009900990099009965e-01 -7.198900455180637437e+02 1.057356547865813212e+01 3.375769643855752178e-01 7.558963829644093080e-01 2.723536287108791268e-02
1.010801080108010841e-01 -7.198890905857715552e+02 1.064508385118509182e+01 3.375764904325411764e-01 7.558951658096431103e-01 2.723662043646522465e-02
1.011701170117011717e-01 -7.198881292016424140e+02 1.071692536568037646e+01 3.375760134778726940e-01 7.558939393792580841e-01 2.723788613371248141e-02
1.012601260126012592e-01 -7.198871613365647590e+02 1.078909062285296905e+01 3.375755335115964151e-01 7.558927036078949557e-01 2.723915998975478744e-02
1.013501350135013607e-01 -7.198861869613763247e+02 1.086158017642038587e+01 3.375750505237817278e-01 7.558914584295908234e-01 2.724044203133378292e-02
1.014401440144014482e-01 -7.198852060468627769e+02 1.093439451088936032e+01 3.375745645045417631e-01 7.558902037777683880e-01 2.724173228500320967e-02
1.015301530153015358e-01 -7.198842185637561215e+02 1.100753435837221694e+01 3.375740754440336167e-01 7.558889395852270709e-01 2.724303077712537935e-02
1.016201620162016234e-01 -7.198832244827394788e+02 1.108100020599935220e+01 3.375735833324605140e-01 7.558876657841387958e-01 2.724433753386563267e-02
1.017101710171017109e-01 -7.198822237744420818e+02 1.115479262442158159e+01 3.375730881600704780e-01 7.558863823060335552e-01 2.724565258118897756e-02
1.018001800180018124e-01 -7.198812164094412083e+02 1.122891226706440193e+01 3.375725899171594380e-01 7.558850890817939705e-01 2.724697594485502028e-02
1.018901890189018999e-01 -7.198802023582625225e+02 1.130335959465475781e+01 3.375720885940702853e-01 7.558837860416453003e-01 2.724830765041398595e-02
1.019801980198019875e-01 -7.198791815913775736e+02 1.137813532466380551e+01 3.375715841811945395e-01 7.558824731151463361e-01 2.724964772320195502e-02
1.020702070207020751e-01 -7.198781540792069791e+02 1.145323998766015983e+01 3.375710766689734577e-01 7.558811502311815200e-01 2.725099618833630791e-02
1.021602160216021626e-01 -7.198771197921178100e+02 1.152867412414689241e+01 3.375705660478978687e-01 7.558798173179489543e-01 2.725235307071122853e-02
1.022502250225022502e-01 -7.198760787004234771e+02 1.160443838467889854e+01 3.375700523085101712e-01 7.558784743029526298e-01 2.725371839499309001e-02
1.023402340234023516e-01 -7.198750307743847543e+02 1.168053332325582439e+01 3.375695354414043892e-01 7.558771211129935441e-01 2.725509218561551414e-02
1.024302430243024392e-01 -7.198739759842080730e+02 1.175695960897796155e+01 3.375690154372269491e-01 7.558757576741580442e-01 2.725647446677490968e-02
1.025202520252025268e-01 -7.198729143000471140e+02 1.183371779242736466e+01 3.375684922866786231e-01 7.558743839118099439e-01 2.725786526242552146e-02
1.026102610261026143e-01 -7.198718456920009885e+02 1.191080846702001672e+01 3.375679659805139177e-01 7.558729997505793108e-01 2.725926459627472584e-02
1.027002700270027019e-01 -7.198707701301149200e+02 1.198823221895381330e+01 3.375674365095432949e-01 7.558716051143541392e-01 2.726067249177814220e-02
1.027902790279027895e-01 -7.198696875843783118e+02 1.206598972642537682e+01 3.375669038646327280e-01 7.558701999262670279e-01 2.726208897213469942e-02
1.028802880288028909e-01 -7.198685980247278167e+02 1.214408152234208593e+01 3.375663680367060882e-01 7.558687841086888515e-01 2.726351406028118887e-02
1.029702970297029785e-01 -7.198675014210430163e+02 1.222250827556077013e+01 3.375658290167446451e-01 7.558673575832156599e-01 2.726494777888842369e-02
1.030603060306030661e-01 -7.198663977431493777e+02 1.230127054856346724e+01 3.375652867957888992e-01 7.558659202706587976e-01 2.726639015035475441e-02
1.031503150315031536e-01 -7.198652869608158653e+02 1.238036897890656185e+01 3.375647413649388029e-01 7.558644720910351333e-01 2.726784119680209992e-02
1.032403240324032412e-01 -7.198641690437556235e+02 1.245980421302458652e+01 3.375641927153551491e-01 7.558630129635547368e-01 2.726930094007007019e-02
