P2 Q6 xi delF
3.400000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.410741477612614858e+01
3.410000000000000000e+02 0.000000000000000000e+00 4.043671653861706191e-04 1.411857358237931237e+01
3.420000000000000000e+02 0.000000000000000000e+00 8.087343307723412382e-04 1.413163801087481630e+01
3.430000000000000000e+02 0.000000000000000000e+00 1.213101496158511912e-03 1.414450348299281757e+01
3.440000000000000000e+02 0.000000000000000000e+00 1.617468661544682476e-03 1.415839667844548444e+01
3.450000000000000000e+02 0.000000000000000000e+00 2.021835826930853258e-03 1.417164655047530886e+01
3.460000000000000000e+02 0.000000000000000000e+00 2.426202992317023823e-03 1.418571553743148428e+01
3.470000000000000000e+02 0.000000000000000000e+00 2.830570157703194388e-03 1.834125356632815240e+01
3.480000000000000000e+02 0.000000000000000000e+00 3.234937323089364953e-03 1.751200550212781337e+01
3.490000000000000000e+02 0.000000000000000000e+00 3.639304488475535518e-03 1.532895269578997244e+01
3.500000000000000000e+02 0.000000000000000000e+00 4.043671653861706516e-03 1.552958385631747973e+01
3.510000000000000000e+02 0.000000000000000000e+00 4.448038819247876648e-03 1.548235235955297640e+01
3.520000000000000000e+02 0.000000000000000000e+00 4.852405984634047646e-03 1.548991824403181994e+01
3.530000000000000000e+02 0.000000000000000000e+00 5.256773150020217777e-03 1.548243050986715730e+01
3.540000000000000000e+02 0.000000000000000000e+00 5.661140315406388776e-03 1.547655703115597703e+01
3.550000000000000000e+02 0.000000000000000000e+00 6.065507480792558907e-03 1.546662957495247781e+01
3.560000000000000000e+02 0.000000000000000000e+00 6.469874646178729906e-03 1.546236281688364755e+01
3.570000000000000000e+02 0.000000000000000000e+00 6.874241811564900904e-03 1.545737975358464666e+01
3.580000000000000000e+02 0.000000000000000000e+00 7.278608976951071036e-03 1.544584389541731184e+01
3.590000000000000000e+02 0.000000000000000000e+00 7.682976142337242034e-03 1.543975371304614441e+01
3.600000000000000000e+02 0.000000000000000000e+00 8.087343307723413033e-03 1.542972419440047815e+01
3.610000000000000000e+02 0.000000000000000000e+00 8.491710473109582297e-03 1.542634448910081346e+01
3.620000000000000000e+02 0.000000000000000000e+00 8.896077638495753295e-03 1.542056049405614715e+01
3.630000000000000000e+02 0.000000000000000000e+00 9.300444803881924294e-03 1.541318478572031125e+01
3.640000000000000000e+02 0.000000000000000000e+00 9.704811969268095292e-03 1.540605106313815043e+01
3.650000000000000000e+02 0.000000000000000000e+00 1.010917913465426629e-02 1.540371421306664956e+01
3.660000000000000000e+02 0.000000000000000000e+00 1.051354630004043555e-02 1.584830591456697135e+01
3.670000000000000000e+02 0.000000000000000000e+00 1.091791346542660655e-02 1.582416711952030397e+01
3.680000000000000000e+02 0.000000000000000000e+00 1.132228063081277755e-02 1.580104757892964074e+01
3.690000000000000000e+02 0.000000000000000000e+00 1.172664779619894855e-02 1.578398403383963711e+01
3.700000000000000000e+02 0.000000000000000000e+00 1.213101496158511781e-02 1.576889859462996668e+01
3.710000000000000000e+02 0.000000000000000000e+00 1.253538212697128881e-02 1.573947671380331315e+01
3.720000000000000000e+02 0.000000000000000000e+00 1.293974929235745981e-02 1.571976440236797146e+01
3.730000000000000000e+02 0.000000000000000000e+00 1.334411645774363081e-02 1.569992157056730520e+01
3.740000000000000000e+02 0.000000000000000000e+00 1.374848362312980181e-02 1.567834822304497067e+01
3.750000000000000000e+02 0.000000000000000000e+00 1.415285078851597107e-02 1.565385174241697541e+01
3.760000000000000000e+02 0.000000000000000000e+00 1.455721795390214207e-02 1.563397341605131174e+01
3.770000000000000000e+02 0.000000000000000000e+00 1.496158511928831307e-02 1.561105314319397763e+01
3.780000000000000000e+02 0.000000000000000000e+00 1.536595228467448407e-02 1.558987048497130701e+01
3.790000000000000000e+02 0.000000000000000000e+00 1.577031945006065333e-02 1.556865407577630833e+01
3.800000000000000000e+02 0.000000000000000000e+00 1.617468661544682607e-02 1.555524460274630627e+01
3.810000000000000000e+02 0.000000000000000000e+00 1.657905378083299533e-02 1.553738274129963770e+01
3.820000000000000000e+02 0.000000000000000000e+00 1.698342094621916459e-02 1.551905147979864097e+01
3.830000000000000000e+02 0.000000000000000000e+00 1.738778811160533733e-02 1.550214946611497879e+01
3.840000000000000000e+02 0.000000000000000000e+00 1.779215527699150659e-02 1.548576343131831123e+01
3.850000000000000000e+02 0.000000000000000000e+00 1.819652244237767932e-02 1.546239928958497245e+01
3.860000000000000000e+02 0.000000000000000000e+00 1.860088960776384859e-02 1.545277204267597426e+01
3.870000000000000000e+02 0.000000000000000000e+00 1.900525677315001785e-02 1.543745620014964004e+01
3.880000000000000000e+02 0.000000000000000000e+00 1.940962393853619058e-02 1.542541644370164278e+01
3.890000000000000000e+02 0.000000000000000000e+00 1.981399110392235985e-02 1.540718232522063857e+01
3.900000000000000000e+02 0.000000000000000000e+00 2.021835826930853258e-02 1.539857009832830670e+01
3.910000000000000000e+02 0.000000000000000000e+00 2.062272543469470185e-02 1.539051669288564028e+01
3.920000000000000000e+02 0.000000000000000000e+00 2.102709260008087111e-02 1.537976171514830526e+01
3.930000000000000000e+02 0.000000000000000000e+00 2.143145976546704384e-02 1.536702352529496807e+01
3.940000000000000000e+02 0.000000000000000000e+00 2.183582693085321311e-02 1.535269430713331218e+01
3.950000000000000000e+02 0.000000000000000000e+00 2.224019409623938237e-02 1.534662411380664082e+01
3.960000000000000000e+02 0.000000000000000000e+00 2.264456126162555510e-02 1.533298137298631048e+01
3.970000000000000000e+02 0.000000000000000000e+00 2.304892842701172437e-02 1.532426951222731049e+01
3.980000000000000000e+02 0.000000000000000000e+00 2.345329559239789710e-02 1.531403312876597766e+01
3.990000000000000000e+02 0.000000000000000000e+00 2.385766275778406637e-02 1.531271684084497053e+01
4.000000000000000000e+02 0.000000000000000000e+00 2.426202992317023563e-02 1.530770874453697417e+01
4.010000000000000000e+02 0.000000000000000000e+00 2.466639708855640836e-02 1.530432318574764849e+01
4.020000000000000000e+02 0.000000000000000000e+00 2.507076425394257763e-02 1.530022499572697114e+01
4.030000000000000000e+02 0.000000000000000000e+00 2.547513141932875036e-02 1.529546399140830459e+01
4.040000000000000000e+02 0.000000000000000000e+00 2.587949858471491962e-02 1.529852038481064369e+01
4.050000000000000000e+02 0.000000000000000000e+00 2.628386575010108889e-02 1.529624499638063639e+01
4.060000000000000000e+02 0.000000000000000000e+00 2.668823291548726162e-02 1.530003905402330133e+01
4.070000000000000000e+02 0.000000000000000000e+00 2.709260008087343088e-02 1.530327117665797232e+01
4.080000000000000000e+02 0.000000000000000000e+00 2.749696724625960362e-02 1.530549176646130860e+01
4.090000000000000000e+02 0.000000000000000000e+00 2.790133441164577288e-02 1.531083650069631119e+01
4.100000000000000000e+02 0.000000000000000000e+00 2.830570157703194215e-02 1.531957862524230762e+01
4.110000000000000000e+02 0.000000000000000000e+00 2.871006874241811488e-02 1.532408917492864475e+01
4.120000000000000000e+02 0.000000000000000000e+00 2.911443590780428414e-02 1.533320031840830922e+01
4.130000000000000000e+02 0.000000000000000000e+00 2.951880307319045688e-02 1.534883947283196903e+01
4.140000000000000000e+02 0.000000000000000000e+00 2.992317023857662614e-02 1.535655997661763905e+01
4.150000000000000000e+02 0.000000000000000000e+00 3.032753740396279540e-02 1.536560735442264303e+01
4.160000000000000000e+02 0.000000000000000000e+00 3.073190456934896814e-02 1.537834168346364550e+01
4.170000000000000000e+02 0.000000000000000000e+00 3.113627173473513740e-02 1.538843733408830872e+01
4.180000000000000000e+02 0.000000000000000000e+00 3.154063890012130666e-02 1.540233688119997169e+01
4.190000000000000000e+02 0.000000000000000000e+00 3.194500606550747940e-02 1.541635935159463600e+01
4.200000000000000000e+02 0.000000000000000000e+00 3.234937323089365213e-02 1.542823060226564280e+01
4.210000000000000000e+02 0.000000000000000000e+00 3.275374039627981793e-02 1.544094600087197477e+01
4.220000000000000000e+02 0.000000000000000000e+00 3.315810756166599066e-02 1.545869203794863722e+01
4.230000000000000000e+02 0.000000000000000000e+00 3.356247472705216339e-02 1.547542268138163735e+01
4.240000000000000000e+02 0.000000000000000000e+00 3.396684189243832919e-02 1.549234624088897760e+01
4.250000000000000000e+02 0.000000000000000000e+00 3.437120905782450192e-02 1.551093655044331143e+01
4.260000000000000000e+02 0.000000000000000000e+00 3.477557622321067465e-02 1.552354720894730633e+01
4.270000000000000000e+02 0.000000000000000000e+00 3.517994338859684045e-02 1.554237726249331075e+01
4.280000000000000000e+02 0.000000000000000000e+00 3.558431055398301318e-02 1.556102124979330625e+01
4.290000000000000000e+02 0.000000000000000000e+00 3.598867771936918591e-02 1.557968964739064432e+01
4.300000000000000000e+02 0.000000000000000000e+00 3.639304488475535865e-02 1.560043155029563877e+01
4.310000000000000000e+02 0.000000000000000000e+00 3.679741205014152444e-02 1.562050702717497330e+01
4.320000000000000000e+02 0.000000000000000000e+00 3.720177921552769718e-02 1.564400019476563131e+01
4.330000000000000000e+02 0.000000000000000000e+00 3.760614638091386991e-02 1.566019443436897518e+01
4.340000000000000000e+02 0.000000000000000000e+00 3.801051354630003570e-02 1.568325394555497354e+01
4.350000000000000000e+02 0.000000000000000000e+00 3.841488071168620844e-02 1.570213755230431474e+01
4.360000000000000000e+02 0.000000000000000000e+00 3.881924787707238117e-02 1.572665607692530187e+01
4.370000000000000000e+02 0.000000000000000000e+00 3.922361504245854696e-02 1.574719833846997830e+01
4.380000000000000000e+02 0.000000000000000000e+00 3.962798220784471970e-02 1.576947472746397239e+01
4.390000000000000000e+02 0.000000000000000000e+00 4.003234937323089243e-02 1.578952865851964305e+01
4.400000000000000000e+02 0.000000000000000000e+00 4.043671653861706516e-02 1.536145064609443978e+01
4.410000000000000000e+02 0.000000000000000000e+00 4.084108370400323096e-02 1.667473286242178432e+01
4.420000000000000000e+02 0.000000000000000000e+00 4.124545086938940369e-02 1.646878063070261078e+01
4.430000000000000000e+02 0.000000000000000000e+00 4.164981803477557643e-02 1.636409507791127993e+01
4.440000000000000000e+02 0.000000000000000000e+00 4.205418520016174222e-02 1.641007012934594655e+01
4.450000000000000000e+02 0.000000000000000000e+00 4.245855236554791495e-02 1.642494285025028233e+01
4.460000000000000000e+02 0.000000000000000000e+00 4.286291953093408769e-02 1.644789151875961153e+01
4.470000000000000000e+02 0.000000000000000000e+00 4.326728669632025348e-02 1.646839174726677868e+01
4.480000000000000000e+02 0.000000000000000000e+00 4.367165386170642621e-02 1.648957235054094639e+01
4.490000000000000000e+02 0.000000000000000000e+00 4.407602102709259895e-02 1.651031661975027731e+01
4.500000000000000000e+02 0.000000000000000000e+00 4.448038819247876474e-02 1.653237281789894553e+01
4.510000000000000000e+02 0.000000000000000000e+00 4.488475535786493748e-02 1.655509077173577737e+01
4.520000000000000000e+02 0.000000000000000000e+00 4.528912252325111021e-02 1.657752408406977196e+01
4.530000000000000000e+02 0.000000000000000000e+00 4.569348968863728294e-02 1.659881266554694434e+01
4.540000000000000000e+02 0.000000000000000000e+00 4.609785685402344874e-02 1.661825490693244944e+01
4.550000000000000000e+02 0.000000000000000000e+00 4.650222401940962147e-02 1.663925729012760968e+01
4.560000000000000000e+02 0.000000000000000000e+00 4.690659118479579420e-02 1.665935294286494184e+01
4.570000000000000000e+02 1.000000000000000000e+00 4.731095835018196000e-02 1.667906251436894394e+01
4.580000000000000000e+02 1.000000000000000000e+00 4.771532551556813273e-02 1.669745243530893930e+01
4.590000000000000000e+02 1.000000000000000000e+00 4.811969268095430546e-02 1.671811500474760948e+01
4.600000000000000000e+02 1.000000000000000000e+00 4.852405984634047126e-02 1.673954332272277412e+01
4.610000000000000000e+02 1.000000000000000000e+00 4.892842701172664399e-02 1.675952614010611086e+01
4.620000000000000000e+02 1.000000000000000000e+00 4.933279417711281672e-02 1.678139515112777502e+01
4.630000000000000000e+02 1.000000000000000000e+00 4.973716134249898946e-02 1.680071521648427790e+01
4.640000000000000000e+02 1.000000000000000000e+00 5.014152850788515525e-02 1.682186729956411142e+01
4.650000000000000000e+02 1.000000000000000000e+00 5.054589567327132799e-02 1.684474342216428511e+01
4.660000000000000000e+02 0.000000000000000000e+00 5.095026283865750072e-02 1.730493003808025065e+01
4.670000000000000000e+02 0.000000000000000000e+00 5.135463000404366651e-02 1.732101966212358946e+01
