l0 kb T theta_s kappa Em Es Tr Em_se
1 1.0 0.01 NA NA 10.003565233951612 0.30074502028248506 0.01 0.011560397243384889
1 1.0 0.02 NA NA 19.97962352642276 0.6301466567518553 0.02 0.03168791415049016
1 1.0 0.03 NA NA 29.9714806285819 0.9112720681580275 0.03 0.02633280699750564
1 1.0 0.04 NA NA 40.00586584975932 1.2285717505605513 0.04 0.039893132410594036
1 1.0 0.05 NA NA 50.09202366803279 1.592068590257461 0.049999999999999996 0.0405550771226221
1 1.0 0.075 NA NA 75.1608180985939 2.323121793239588 0.075 0.06905002231465181
1 1.0 0.1 NA NA 99.98804380831001 3.1881594884657187 0.09999999999999999 0.09065437034570716
1 1.0 0.15 NA NA 150.10559086365456 4.722610807071941 0.15 0.16224907021176455
1 1.0 0.2 NA NA 199.5512281087565 5.908691255136355 0.19999999999999998 0.17731432877287115
1 1.0 0.25 NA NA 248.89727288858467 7.80855840402751 0.25 0.1388666674896435
1 1.0 0.3 NA NA 297.27313024149845 8.948707944144019 0.3 0.1620745826890767
1 1.0 0.35 NA NA 343.73192497692804 10.572755001319951 0.35000000000000003 0.29417360219130456
1 1.0 0.4 NA NA 386.4977540983607 11.337554407748879 0.39999999999999997 0.5016858764254846
1 1.0 0.5 NA NA 462.22119328592095 13.508345812892312 0.5 0.24111524820428976
1 1.0 0.6 NA NA 526.1883032786885 14.159612980707744 0.6 0.32651741756084596
1 1.0 0.75 NA NA 600.5247132587049 14.940484553484396 0.75 0.6196779982734554
1 1.0 0.8 NA NA 621.8855970912264 14.976496383180937 0.7999999999999999 0.4586916292854635
1 1.0 1.0 NA NA 686.9783104508197 16.483161596807545 1.0 0.44572468831587214
1 10.0 0.1 NA NA 100.11416718709677 3.053928504714041 0.01 0.08859522361917241
1 10.0 0.2 NA NA 200.18719343096095 6.2424734344818065 0.02 0.19733217766655836
1 10.0 0.3 NA NA 299.60663012295083 9.016729919119104 0.03 0.22915448572742483
1 10.0 0.4 NA NA 400.5724615373039 12.538369325882154 0.04 0.40476877878671363
1 10.0 0.5 NA NA 501.1211088322247 16.365905904112218 0.049999999999999996 0.5544599993083236
1 10.0 0.75 NA NA 750.6146723135746 23.721904685104963 0.075 0.7749672058902841
1 10.0 1.0 NA NA 999.3313526422763 30.37734536492218 0.09999999999999999 0.7407329025693822
1 10.0 1.5 NA NA 1498.2386390443824 46.7419449982072 0.15 1.8694436197207962
1 10.0 2.0 NA NA 1998.5460836498733 61.00352805937332 0.19999999999999998 2.227160490406397
1 10.0 2.5 NA NA 2491.575084882714 75.25269826433717 0.25 1.8698371141651111
1 10.0 3.0 NA NA 2970.381465163934 89.9992763966228 0.3 2.967562562693568
1 10.0 3.5 NA NA 3440.5665163934427 102.98277299607771 0.35000000000000003 2.90187941242837
1 10.0 4.0 NA NA 3864.1673427724154 115.6265775674081 0.39999999999999997 3.1518434201089955
1 10.0 5.0 NA NA 4624.3696618852455 132.77485282818748 0.5 2.0990779479385817
1 10.0 6.0 NA NA 5265.048252523372 136.47237445066645 0.6 4.682695297819367
1 10.0 7.5 NA NA 6011.91382663257 152.72905746308192 0.75 3.885673331213625
1 10.0 8.0 NA NA 6217.474304633519 165.15375512361197 0.7999999999999999 3.796426813816986
1 10.0 10.0 NA NA 6864.47517358759 160.82369799131797 1.0 5.336077970236067
