l0 kb T theta_s kappa costheta Tr costheta_se
1 1.0 0.01 NA NA 0.9899964388270964 0.009999999999999832 9.636123752163282e-06
1 1.0 0.02 NA NA 0.9800203784333683 0.019999999999999664 2.0291125702867216e-05
1 1.0 0.03 NA NA 0.9700284169215085 0.030000000000000367 2.9222506892245137e-05
1 1.0 0.04 NA NA 0.9599943010204081 0.03999999999999933 3.945405372557143e-05
1 1.0 0.05 NA NA 0.9499079764344269 0.04999999999999935 5.127588695555617e-05
1 1.0 0.075 NA NA 0.9248392638036811 0.07500000000000137 7.4634987254652e-05
1 1.0 0.1 NA NA 0.900011437755103 0.09999999999999869 0.00010221923672904799
1 1.0 0.15 NA NA 0.8498944206755379 0.15000000000000274 0.00015189887157012643
1 1.0 0.2 NA NA 0.8004489683673462 0.19999999999999737 0.00018977670864818227
1 1.0 0.25 NA NA 0.7511016264073697 0.25 0.000250665691345346
1 1.0 0.3 NA NA 0.7027263651282054 0.3000000000000055 0.0002874204040243445
1 1.0 0.35 NA NA 0.656270667008197 0.3500000000000027 0.000340773406396263
1 1.0 0.4 NA NA 0.6135022459016395 0.3999999999999948 0.0003663841044784627
1 1.0 0.5 NA NA 0.537775327852004 0.5 0.00043432907392763865
1 1.0 0.6 NA NA 0.47381169672131185 0.600000000000011 0.00045491501340609494
1 1.0 0.75 NA NA 0.39947070298047205 0.75 0.00048286527357314425
1 1.0 0.8 NA NA 0.3781105289256196 0.7999999999999898 0.000484096177962833
1 1.0 1.0 NA NA 0.3130216895491801 1.0 0.0005302456925136796
1 10.0 0.1 NA NA 0.9899884091370555 0.009999999999999832 9.776338808632794e-06
1 10.0 0.2 NA NA 0.9799811530612257 0.019999999999999664 2.0094385304806006e-05
1 10.0 0.3 NA NA 0.9700393411405298 0.030000000000000367 2.887157107605827e-05
1 10.0 0.4 NA NA 0.9599425950920253 0.03999999999999933 4.033699309894258e-05
1 10.0 0.5 NA NA 0.9498876853360488 0.04999999999999934 5.249708249850713e-05
1 10.0 0.75 NA NA 0.9249387602040814 0.07500000000000137 7.617982981078843e-05
1 10.0 1.0 NA NA 0.9000668648373975 0.09999999999999866 9.723684545302314e-05
1 10.0 1.5 NA NA 0.8501762934560324 0.15000000000000274 0.0001505540245229076
1 10.0 2.0 NA NA 0.8001447026476574 0.19999999999999735 0.00019629567679553937
1 10.0 2.5 NA NA 0.7508438732106342 0.25 0.0002415891732517216
1 10.0 3.0 NA NA 0.7029618534836062 0.3000000000000055 0.0002896630331910592
1 10.0 3.5 NA NA 0.6559433483606546 0.3500000000000027 0.00033094848466404345
1 10.0 4.0 NA NA 0.6135784974924766 0.3999999999999944 0.00036800606723573715
1 10.0 5.0 NA NA 0.5375630338114754 0.5 0.00042584858944548254
1 10.0 6.0 NA NA 0.47349748973305944 0.600000000000011 0.0004403491556769379
1 10.0 7.5 NA NA 0.39881011934156363 0.75 0.0004922576714221224
1 10.0 8.0 NA NA 0.3782505020576132 0.7999999999999897 0.0005316838277271031
1 10.0 10.0 NA NA 0.31355287757201644 1.0 0.0005190898150674894
