l0 kb T costheta_s kappa theta_s lp Tr lp_se
1.0 0.01 0.005 0.9 600.0 0.4510268117962624 1.5848455921289246 0.5 0.025505818498651023
1.0 0.01 0.01 0.9 600.0 0.4510268117962624 0.9369886132781673 1.0 0.04025908419826172
1.0 0.01 0.02 0.9 600.0 0.4510268117962624 0.8480060409564263 2.0 0.042990205300743406
1.0 0.01 0.03 0.9 600.0 0.4510268117962624 0.9283649952729153 3.0 0.04566279455393142
1.0 0.01 0.04 0.9 600.0 0.4510268117962624 0.9060253334494789 4.0 0.05216664481817001
1.0 0.01 0.05 0.9 600.0 0.4510268117962624 0.7763822689723372 5.0 0.07432584767116487
1.0 0.01 0.075 0.9 600.0 0.4510268117962624 0.8094905863925885 7.5 0.0452098189960224
1.0 0.01 0.1 0.9 600.0 0.4510268117962624 0.8002950005651835 10.0 0.08778875603942106
1.0 0.01 0.15 0.9 600.0 0.4510268117962624 0.8019997551647529 15.0 0.05131231407603412
1.0 0.01 0.2 0.9 600.0 0.4510268117962624 0.8747643366131677 20.0 0.06467635803057546
1.0 0.01 0.25 0.9 600.0 0.4510268117962624 0.8489217825115881 25.0 0.09291214010483297
1.0 0.01 0.3 0.9 600.0 0.4510268117962624 0.8624038197767929 30.0 0.054155790032627486
1.0 0.01 0.4 0.9 600.0 0.4510268117962624 0.8614302150242265 40.0 0.0623061060902413
1.0 0.01 0.6 0.9 600.0 0.4510268117962624 0.7753969380966441 60.0 0.037161404364399575
1.0 0.01 1.0 0.9 600.0 0.4510268117962624 0.785266646799885 100.0 0.04199752815746815
1.0 0.1 0.005 0.9 600.0 0.4510268117962624 19.469152898340695 0.049999999999999996 0.04961397762872766
1.0 0.1 0.01 0.9 600.0 0.4510268117962624 9.489410887047383 0.09999999999999999 0.021377700743132954
1.0 0.1 0.02 0.9 600.0 0.4510268117962624 4.490571341208812 0.19999999999999998 0.011016775830301964
1.0 0.1 0.03 0.9 600.0 0.4510268117962624 2.850892444142267 0.3 0.008145783516173788
1.0 0.1 0.04 0.9 600.0 0.4510268117962624 2.015978419777243 0.39999999999999997 0.03353399274786675
1.0 0.1 0.05 0.9 600.0 0.4510268117962624 1.5355242686660817 0.5 0.04555143155709836
1.0 0.1 0.075 0.9 600.0 0.4510268117962624 1.1273045397907904 0.7499999999999999 0.03514674466178811
1.0 0.1 0.1 0.9 600.0 0.4510268117962624 0.9870253232690976 1.0 0.05054420868688099
1.0 0.1 0.15 0.9 600.0 0.4510268117962624 0.8143056638767431 1.4999999999999998 0.06664852920509545
1.0 0.1 0.2 0.9 600.0 0.4510268117962624 0.7917666616678651 2.0 0.06891709177582017
1.0 0.1 0.25 0.9 600.0 0.4510268117962624 0.8528837260915261 2.5 0.05730097549148487
1.0 0.1 0.3 0.9 600.0 0.4510268117962624 0.7965079996767525 2.9999999999999996 0.061339405016501335
1.0 0.1 0.4 0.9 600.0 0.4510268117962624 0.8350256820277643 4.0 0.04099586950591389
1.0 0.1 0.6 0.9 600.0 0.4510268117962624 0.91536329344473 5.999999999999999 0.05813057545903483
1.0 0.1 1.0 0.9 600.0 0.4510268117962624 0.8122976492860454 10.0 0.05935380935383295
1.0 0.2 0.005 0.9 600.0 0.4510268117962624 39.50915492419077 0.024999999999999998 0.1157902694918324
