l0 kb T theta_s kappa costheta Tr costheta_se
1.0 1.0 0.01 0.4510268117962624 300 0.9899868071713136 0.009999999999999822 8.955132622373749e-06
1.0 1.0 0.01 0.4510268117962624 1200 0.9900148330696219 0.009999999999999822 8.686434761339634e-06
1.0 1.0 0.02 0.4510268117962624 300 0.9799872768361589 0.019999999999999647 1.821285861099874e-05
1.0 1.0 0.02 0.4510268117962624 1200 0.9800508844301762 0.019999999999999647 1.7819163509402886e-05
1.0 1.0 0.03 0.4510268117962624 300 0.9699942667744543 0.030000000000000523 2.7445155585430087e-05
1.0 1.0 0.03 0.4510268117962624 1200 0.9700163397745584 0.030000000000000526 2.719150649076856e-05
1.0 1.0 0.04 0.4510268117962624 300 0.9600127983870955 0.03999999999999929 3.559893481131293e-05
1.0 1.0 0.04 0.4510268117962624 1200 0.9600121789727135 0.03999999999999929 3.5992471322436026e-05
1.0 1.0 0.05 0.4510268117962624 300 0.9499462417405313 0.04999999999999888 4.500741536092684e-05
1.0 1.0 0.05 0.4510268117962624 1200 0.9499591340872386 0.049999999999998886 4.5983141795679693e-05
1.0 1.0 0.075 0.4510268117962624 300 0.9250271922455571 0.07500000000000168 6.886339717948015e-05
1.0 1.0 0.075 0.4510268117962624 1200 0.9250359540322578 0.07500000000000169 6.81828079755547e-05
1.0 1.0 0.1 0.4510268117962624 300 0.9002102790335165 0.09999999999999766 8.833056033635967e-05
1.0 1.0 0.1 0.4510268117962624 1200 0.8999512429149797 0.09999999999999779 8.971886585151043e-05
1.0 1.0 0.15 0.4510268117962624 300 0.8500935309236961 0.15000000000000338 0.00013553313541196896
1.0 1.0 0.15 0.4510268117962624 1200 0.8501579077669915 0.15000000000000335 0.00013302887742074867
1.0 1.0 0.2 0.4510268117962624 300 0.7998136588709661 0.19999999999999554 0.0001803962462522175
1.0 1.0 0.2 0.4510268117962624 1200 0.8000681752827135 0.19999999999999554 0.00017884979272568603
1.0 1.0 0.25 0.4510268117962624 300 0.7506278120967743 0.25 0.00022029988249545334
1.0 1.0 0.25 0.4510268117962624 1200 0.7510531808681672 0.25 0.00021740922037922635
1.0 1.0 0.3 0.4510268117962624 300 0.7027081855753655 0.3000000000000067 0.00026369216065340784
1.0 1.0 0.3 0.4510268117962624 1200 0.7027292035685333 0.3000000000000067 0.00025912528919187577
1.0 1.0 0.4 0.4510268117962624 300 0.6141990863895683 0.3999999999999912 0.000341459075368816
1.0 1.0 0.4 0.4510268117962624 1200 0.6134773514610378 0.39999999999999114 0.00032255119923438455
1.0 1.0 0.6 0.4510268117962624 300 0.47392077479674777 0.6000000000000134 0.0004178502026909294
1.0 1.0 0.6 0.4510268117962624 1200 0.47395727709861496 0.6000000000000134 0.0004083830402175231
1.0 1.0 1.0 0.4510268117962624 300 0.31316321672077907 1.0 0.0004752103023862083
1.0 1.0 1.0 0.4510268117962624 1200 0.3139935998376624 1.0 0.0004828766988691911
1.0 2.0 0.01 0.4510268117962624 300 0.9949989505766071 0.004999999999999912 4.3453695036301535e-06
1.0 2.0 0.01 0.4510268117962624 1200 0.9950027048327135 0.00499999999999991 4.355284511321797e-06
1.0 2.0 0.02 0.4510268117962624 300 0.9900099421193234 0.009999999999999827 9.384701701883622e-06
1.0 2.0 0.02 0.4510268117962624 1200 0.9899930826052431 0.009999999999999822 9.080326995029586e-06
1.0 2.0 0.03 0.4510268117962624 300 0.9850019776984834 0.01500000000000023 1.3606904843013714e-05
1.0 2.0 0.03 0.4510268117962624 1200 0.9849921342443735 0.015000000000000263 1.3837862652205467e-05
1.0 2.0 0.04 0.4510268117962624 300 0.9800136283422457 0.019999999999999653 1.837996459470198e-05
1.0 2.0 0.04 0.4510268117962624 1200 0.9799912822774679 0.019999999999999647 1.8101037441857416e-05
1.0 2.0 0.05 0.4510268117962624 300 0.9750122008928589 0.024999999999999533 2.375982350071097e-05
1.0 2.0 0.05 0.4510268117962624 1200 0.9750038771084341 0.02499999999999944 2.242322700656169e-05
1.0 2.0 0.075 0.4510268117962624 300 0.9624891787351068 0.03750000000000076 3.631053073639673e-05
1.0 2.0 0.075 0.4510268117962624 1200 0.9625162276029036 0.037500000000000845 3.3397860042662405e-05
1.0 2.0 0.1 0.4510268117962624 300 0.9499639070397125 0.04999999999999909 4.705528143587066e-05
1.0 2.0 0.1 0.4510268117962624 1200 0.9499841879032253 0.049999999999998886 4.345557276883206e-05
1.0 2.0 0.15 0.4510268117962624 300 0.9249855678571426 0.07500000000000157 7.0392241577441e-05
1.0 2.0 0.15 0.4510268117962624 1200 0.9249712393231263 0.07500000000000169 7.053254613221425e-05
1.0 2.0 0.2 0.4510268117962624 300 0.8998970133928559 0.09999999999999813 9.473580920252132e-05
1.0 2.0 0.2 0.4510268117962624 1200 0.8999181985472157 0.09999999999999777 8.781672480633585e-05
1.0 2.0 0.25 0.4510268117962624 300 0.8747839402852048 0.125 0.00011961591057520776
1.0 2.0 0.25 0.4510268117962624 1200 0.8748759181380417 0.125 0.00011291918584555136
1.0 2.0 0.3 0.4510268117962624 300 0.8499144959785513 0.15000000000000313 0.0001451655261843659
1.0 2.0 0.3 0.4510268117962624 1200 0.8499857384987897 0.15000000000000338 0.00013722136883670598
1.0 2.0 0.4 0.4510268117962624 300 0.8000081536388147 0.19999999999999632 0.00018805197209375007
1.0 2.0 0.4 0.4510268117962624 1200 0.7998459959677426 0.19999999999999554 0.00017909369216899274
1.0 2.0 0.6 0.4510268117962624 300 0.7023135462713384 0.3000000000000062 0.000277483774644214
1.0 2.0 0.6 0.4510268117962624 1200 0.7025868071748872 0.3000000000000062 0.00027230536336056503
1.0 2.0 1.0 0.4510268117962624 300 0.5377119793165477 0.5 0.0003950765138084609
1.0 2.0 1.0 0.4510268117962624 1200 0.5376643953068593 0.5 0.00040001858314386493
1.0 4.0 0.01 0.4510268117962624 300 0.997501408730158 0.002499999999999954 2.004637101181983e-06
1.0 4.0 0.01 0.4510268117962624 1200 0.9975007065297135 0.002499999999999955 2.1286627842898226e-06
1.0 4.0 0.02 0.4510268117962624 300 0.9949983605341234 0.00499999999999991 4.419293411965872e-06
1.0 4.0 0.02 0.4510268117962624 1200 0.994999710049423 0.004999999999999912 4.533914181218982e-06
1.0 4.0 0.03 0.4510268117962624 300 0.9925020351014036 0.007500000000000136 6.756352563217302e-06
