dir kb Lx Tm I Em Tm2 I2 Em2
SandP_Nc125_like10.00/ 1.0 11.157216 0.31548302430243025 186736.63953763142 -758.811265002692 0 0 0
SandP_Nc125_like10.25/ 1.0 11.436146 0.2711289436943694 50237.35355467698 -821.8556223534861 0 0 0
SandP_kb1.00_like10.25/ 1.0 11.436146 0.2712731011011011 45375.16465746355 -827.5015135372678 0 0 0
SandP_Nc125_like10.30/ 1.0 11.491932 0.26527840544054404 39124.182373627875 -831.8536675091015 0 0 0
SandP_Nc125_like10.33/ 1.0 11.525404 0.2631782122212221 32571.86250740821 -831.269176712578 0 0 0
SandP_Nc125_like10.50/ 1.0 11.715077 0.24572660666066606 18227.328293412513 -864.6615315833535 0 0 0
SandP_kb1.00_lx11.00/ 1.0 11.00 0.34958616181618163 309900.13668258546 -727.9739746395727 0 0 0
SandP_kb1.00_lx11.45/ 1.0 11.45 0.2709789298929893 48129.12847675394 -818.1945896367102 0 0 0
SandP_kb1.00_lx11.464/ 1.0 11.464 0.2692287688768877 37620.814492981335 -823.7921925860294 0 0 0
SandP_kb1.00_lx11.478/ 1.0 11.478 0.26862871367136715 38188.21608801746 -822.4295016562259 0 0 0
SandP_kb1.00_lx13.00/ 1.0 13.00 0 0 0 0 0 0
SandP_kb10.0_like10.25/ 10.0 11.436146 4.646378085808581 37255.338005426645 -7645.91520749498 0 0 0
SandP_kb100._like10.25/ 100.0 11.436146 46.260761716171615 36366.22136058119 -76599.17377745906 0 0 0
SandP_kb0.50_like10.00/ 0.5 11.157216 0.15651591332133213 193717.58428249822 -381.4608222502616 0 0 0
SandP_kb0.50_like10.25/ 0.5 11.436146 0.1352888500450045 50913.93251498122 -410.5288993546505 0 0 0
SandP_kb10.0_like10.00/ 10.0 11.157216 5.373746666666667 95369.46193846945 -7432.278159458579 0 0 0
SandP_kb100._like10.00/ 100.0 11.157216 53.78647128712871 97127.80342859808 -74181.84230407093 0 0 0
SandP_kb2.00_like10.00/ 2 11.157216 0.6307660302030202 182058.03544933023 -1525.8665578021876 0 0 0
SandP_kb2.00_like10.25/ 2 11.436146 0.5406577401740174 50134.88835366789 -1646.3648004098443 0 0 0
HTH_kb1.00_like10.00/ 1.0 11.157216 0.16401640164050796 5948.046102163476 136.20832047105603 0.14491449144956525 1244.9703377248657 86.05976891184778
HTH_kb1.00_like10.25/ 1.0 11.436146 0.1361636163620915 4436.68766271431 113.00477568859024 0.048154815482355534 41.844295793187484 30.460252365572348
HTH_kb100._like10.25/ 100.0 11.436146 0.20101920192019201 3854.5766399581485 161.90406227929088 0.32603120312031203 1100.9824330917045 257.08860831478523
HTH_kb1.00_like10.50/ 1.0 11.715077 0.11726172617314821 2566.308270153795 100.38303467356016 0.025427542755173716 13.55127342759829 19.03065346777872
HTH_kb1.00_lx11.00/ 1.0 11.00 0.21148314831483145 1928.1400390771394 193.10375165451032 0.18278027802780275 1472.325422970312 133.06004089867972
HTH_kb1.00_lx12.00/ 1.0 12.00 0.09966366636663666 1625.1554530752878 88.26134529567004 0.009715871587158715 13.034166743747505 8.198215018387602
HTH_kb1.00_lx13.00/ 1.0 13.0 0.04901200120012001 410.01065808984845 45.79068626349935 0 0 0
