l0 kb T theta_s kappa lp Tr lp_se
1 1.0 0.01 NA NA 99.57855485331613 0.01 0.2681344100674566
1 1.0 0.02 NA NA 49.58975509777662 0.02 0.09693394189465154
1 1.0 0.03 NA NA 32.876251059074235 0.03 0.06602529936243423
1 1.0 0.04 NA NA 24.531170107954964 0.04 0.05078105308568884
1 1.0 0.05 NA NA 19.476812698268212 0.049999999999999996 0.053652149449223
1 1.0 0.075 NA NA 12.80317366027078 0.075 0.04243574142371955
1 1.0 0.1 NA NA 9.461835727109822 0.09999999999999999 0.016805219916906897
1 1.0 0.15 NA NA 6.138039631813074 0.15 0.013441373372231597
1 1.0 0.2 NA NA 4.520178200900309 0.19999999999999998 0.02305837987175665
1 1.0 0.25 NA NA 3.500391689028982 0.25 0.01180895161503342
1 1.0 0.3 NA NA 2.8409148776596913 0.3 0.015777507541772352
1 1.0 0.35 NA NA 2.38769121887867 0.35000000000000003 0.021714512634853505
1 1.0 0.4 NA NA 2.0302822024529936 0.39999999999999997 0.021190212385400645
1 1.0 0.5 NA NA 1.5954900038372293 0.5 0.024136324066316567
1 1.0 0.6 NA NA 1.3786772914161423 0.6 0.04096052707888425
1 1.0 0.75 NA NA 1.1342674613196604 0.75 0.0460719849567992
1 1.0 0.8 NA NA 1.1078786487508725 0.7999999999999999 0.04750518620970613
1 1.0 1.0 NA NA 0.8566320533844962 1.0 0.03250261917936075
1 10.0 0.1 NA NA 98.94667595761487 0.01 0.18530317458177678
1 10.0 0.2 NA NA 49.45924004402647 0.02 0.1433244435918668
1 10.0 0.3 NA NA 32.87001442841334 0.03 0.05886076575509032
1 10.0 0.4 NA NA 24.420435125698805 0.04 0.03505834153205966
1 10.0 0.5 NA NA 19.448537054751007 0.049999999999999996 0.07499918458606052
1 10.0 0.75 NA NA 12.82991281539701 0.075 0.028329010456845126
1 10.0 1.0 NA NA 9.535425320900966 0.09999999999999999 0.015223836785638207
1 10.0 1.5 NA NA 6.136827565205961 0.15 0.02310808543704566
1 10.0 2.0 NA NA 4.479620025864476 0.19999999999999998 0.023396228024903026
1 10.0 2.5 NA NA 3.484025471601976 0.25 0.01385036973132604
1 10.0 3.0 NA NA 2.8471924557555464 0.3 0.018174387015336958
1 10.0 3.5 NA NA 2.3515231427950476 0.35000000000000003 0.015734771737472994
1 10.0 4.0 NA NA 2.043960500079173 0.39999999999999997 0.017661291062049844
1 10.0 5.0 NA NA 1.5956911438772505 0.5 0.027418867238406166
1 10.0 6.0 NA NA 1.3136964474780763 0.6 0.03024013382444742
1 10.0 7.5 NA NA 1.1368986578696734 0.75 0.039827261313158405
1 10.0 8.0 NA NA 1.0759353253116781 0.7999999999999999 0.025099575895440443
1 10.0 10.0 NA NA 0.9867310154323861 1.0 0.0589158369096266
