l0 kb T theta_s kappa Em Es Tr Em_se
1 1.0 0.01 0.17342232109560501 NA -1000.0 0.0 0.01 0.0
1 1.0 0.01 0.4510268117962624 NA -1000.0 0.0 0.01 0.0
1 1.0 0.01 0.6435011087932839 NA -1000.0 0.0 0.01 0.0
1 1.0 0.02 0.17342232109560501 NA -1000.0 0.0 0.02 0.0
1 1.0 0.02 0.4510268117962624 NA -1000.0 0.0 0.02 0.0
1 1.0 0.02 0.6435011087932839 NA -1000.0 0.0 0.02 0.0
1 1.0 0.03 0.17342232109560501 NA -1000.0 0.0 0.03 0.0
1 1.0 0.03 0.4510268117962624 NA -1000.0 0.0 0.03 0.0
1 1.0 0.03 0.6435011087932839 NA -1000.0 0.0 0.03 0.0
1 1.0 0.04 0.17342232109560501 NA -1000.0 0.0 0.04 0.0
1 1.0 0.04 0.4510268117962624 NA -1000.0 0.0 0.04 0.0
1 1.0 0.04 0.6435011087932839 NA -1000.0 0.0 0.04 0.0
1 1.0 0.05 0.17342232109560501 NA -1000.0 0.0 0.049999999999999996 0.0
1 1.0 0.05 0.4510268117962624 NA -1000.0 0.0 0.049999999999999996 0.0
1 1.0 0.05 0.6435011087932839 NA -1000.0 0.0 0.049999999999999996 0.0
1 1.0 0.075 0.17342232109560501 NA -999.8139999999999 0.42502024146297246 0.075 0.008912270834555614
1 1.0 0.075 0.4510268117962624 NA -999.9748306451613 0.1505215720492505 0.075 0.0053826582545687465
1 1.0 0.075 0.6435011087932839 NA -999.9797223450439 0.14229125428666412 0.075 0.0033887563748163764
1 1.0 0.1 0.17342232109560501 NA -994.0013414634146 2.3904344705905323 0.09999999999999999 0.09032786705055024
1 1.0 0.1 0.4510268117962624 NA -999.1562096774194 0.9254318813945901 0.09999999999999999 0.02964098081073587
1 1.0 0.1 0.6435011087932839 NA -999.602031504065 0.6177706003878951 0.09999999999999999 0.020594903464640983
1 1.0 0.15 0.17342232109560501 NA -855.431 10.88322731498406 0.15 0.27795760211123943
1 1.0 0.15 0.4510268117962624 NA -976.3305241935484 4.58867848524655 0.15 0.09360167673151722
1 1.0 0.15 0.6435011087932839 NA -988.6582661290323 3.256002795914304 0.15 0.072675589142759
1 1.0 0.2 0.17342232109560501 NA -528.342214569011 15.957471168985963 0.19999999999999998 0.45105805051116254
1 1.0 0.2 0.4510268117962624 NA -886.2841825513198 9.369552264666153 0.19999999999999998 0.1869667255631676
1 1.0 0.2 0.6435011087932839 NA -942.772267571466 7.3746021901857635 0.19999999999999998 0.2658328815424857
1 1.0 0.25 0.17342232109560501 NA -292.8594516129033 14.574118326713702 0.25 0.5437566261392549
1 1.0 0.25 0.4510268117962624 NA -741.2366854838709 14.294223513377142 0.25 0.35868260016522197
1 1.0 0.25 0.6435011087932839 NA -858.7414852054118 10.866867279542351 0.25 0.34470870469331544
1 1.0 0.3 0.17342232109560501 NA -174.66461290322576 11.332422218574287 0.3 0.19254379495988613
1 1.0 0.3 0.4510268117962624 NA -596.2872983870967 15.545645963260917 0.3 0.49496437016180367
1 1.0 0.3 0.6435011087932839 NA -756.737454835892 13.586527225607133 0.3 0.6279989898557259
1 1.0 0.35 0.17342232109560501 NA -116.11160483870967 10.006178756925326 0.35000000000000003 0.23346615765959408
1 1.0 0.35 0.4510268117962624 NA -478.5584677419355 15.189221640214788 0.35000000000000003 0.5745320927294211
1 1.0 0.35 0.6435011087932839 NA -658.7337851393182 14.712560750334067 0.35000000000000003 0.47761475426667044
1 1.0 0.4 0.17342232109560501 NA -84.3605241935484 8.52768463783855 0.39999999999999997 0.23234247072183992
1 1.0 0.4 0.4510268117962624 NA -391.01045547535085 15.44961221212455 0.39999999999999997 0.628955498455472
1 1.0 0.4 0.6435011087932839 NA -575.8225330835409 16.069693606503563 0.39999999999999997 0.43992243891923705
1 1.0 0.5 0.17342232109560501 NA -52.79514516129032 6.947442052493963 0.5 0.18026098044724037
1 1.0 0.5 0.4510268117962624 NA -280.09072580645164 13.776534434522082 0.5 0.38508667691369985
1 1.0 0.5 0.6435011087932839 NA -450.69903947023334 16.165370472791608 0.5 0.5811221691075817
1 1.0 0.6 0.17342232109560501 NA -38.402 6.013394854241398 0.6 0.2065982989834554
1 1.0 0.6 0.4510268117962624 NA -218.40370161290323 13.386801099865968 0.6 0.18840769012557257
1 1.0 0.6 0.6435011087932839 NA -370.315204563336 15.948048847128248 0.6 0.23711930300178838
1 1.0 0.75 0.17342232109560501 NA -27.736000000000004 5.086807379664823 0.75 0.1087487274145567
1 1.0 0.75 0.4510268117962624 NA -165.7811833511064 11.77091225414934 0.75 0.19508056162407872
1 1.0 0.75 0.6435011087932839 NA -296.96874180435356 14.258947947245916 0.75 0.7261351718036658
1 1.0 0.8 0.17342232109560501 NA -25.842 4.934303716858196 0.7999999999999999 0.1189741868762177
1 1.0 0.8 0.4510268117962624 NA -154.48613703012532 11.271465115354047 0.7999999999999999 0.3123673422073417
1 1.0 0.8 0.6435011087932839 NA -279.61882048255967 14.09886960293266 0.7999999999999999 0.33456730613724034
1 1.0 1.0 0.17342232109560501 NA -20.291 4.41796925918962 1.0 0.18465063537084617
1 1.0 1.0 0.4510268117962624 NA -125.40822901914504 10.405343658437559 1.0 0.3216363619965166
1 1.0 1.0 0.6435011087932839 NA -232.18362345921844 13.332613648922013 1.0 0.36470743640149583
1 10.0 0.1 0.17342232109560501 NA -10000.0 0.0 0.01 0.0
1 10.0 0.1 0.4510268117962624 NA -10000.0 0.0 0.01 0.0
1 10.0 0.1 0.6435011087932839 NA -10000.0 0.0 0.01 0.0
1 10.0 0.2 0.17342232109560501 NA -10000.0 0.0 0.02 0.0
1 10.0 0.2 0.4510268117962624 NA -10000.0 0.0 0.02 0.0
1 10.0 0.2 0.6435011087932839 NA -10000.0 0.0 0.02 0.0
1 10.0 0.3 0.17342232109560501 NA -10000.0 0.0 0.03 0.0
1 10.0 0.3 0.4510268117962624 NA -10000.0 0.0 0.03 0.0
1 10.0 0.3 0.6435011087932839 NA -10000.0 0.0 0.03 0.0
1 10.0 0.4 0.17342232109560501 NA -10000.0 0.0 0.04 0.0
1 10.0 0.4 0.4510268117962624 NA -10000.0 0.0 0.04 0.0
1 10.0 0.4 0.6435011087932839 NA -10000.0 0.0 0.04 0.0
1 10.0 0.5 0.17342232109560501 NA -10000.0 0.0 0.049999999999999996 0.0
1 10.0 0.5 0.4510268117962624 NA -10000.0 0.0 0.049999999999999996 0.0
1 10.0 0.5 0.6435011087932839 NA -10000.0 0.0 0.049999999999999996 0.0
1 10.0 0.75 0.17342232109560501 NA -9997.98 4.416038720807949 0.075 0.15910463762639018
1 10.0 0.75 0.4510268117962624 NA -9999.718306451614 1.6246017260329892 0.075 0.0547407552234266
1 10.0 0.75 0.6435011087932839 NA -9999.859354838709 0.8852036566647862 0.075 0.0584772835055828
1 10.0 1.0 0.17342232109560501 NA -9940.35 24.488945713570356 0.09999999999999999 0.7237896300526141
1 10.0 1.0 0.4510268117962624 NA -9991.592096774193 9.185334010147743 0.09999999999999999 0.35351007541581053
1 10.0 1.0 0.6435011087932839 NA -9995.731612903226 6.516769200884543 0.09999999999999999 0.17499665523795868
1 10.0 1.5 0.17342232109560501 NA -8551.99370967742 112.35102830062073 0.15 4.94963415595907
1 10.0 1.5 0.4510268117962624 NA -9765.24 49.198283249228574 0.15 1.7973949403033855
1 10.0 1.5 0.6435011087932839 NA -9885.817358704346 34.07179590869094 0.15 0.6870009095839804
1 10.0 2.0 0.17342232109560501 NA -5287.135887096774 157.8159102028966 0.19999999999999998 4.176369253879672
1 10.0 2.0 0.4510268117962624 NA -8857.869999999999 102.09862974355705 0.19999999999999998 2.635968241733471
1 10.0 2.0 0.6435011087932839 NA -9426.844852834303 73.65514984002377 0.19999999999999998 2.3168400437971224
1 10.0 2.5 0.17342232109560501 NA -2924.6590322580646 139.33547765130163 0.25 3.9528541095914442
1 10.0 2.5 0.4510268117962624 NA -7420.843891185506 141.2637121602836 0.25 2.127759603500609
1 10.0 2.5 0.6435011087932839 NA -8581.536519800682 111.05694947390072 0.25 2.5292820858136484
