P2 Q6 xi delF
2.770000000000000000e+02 1.000000000000000000e+00 0.000000000000000000e+00 7.806414318448275935e-01
2.780000000000000000e+02 1.000000000000000000e+00 4.557885141294439274e-04 8.235883602337423781e-01
2.790000000000000000e+02 1.000000000000000000e+00 9.115770282588878549e-04 8.167822489792513352e-01
2.800000000000000000e+02 1.000000000000000000e+00 1.367365542388331891e-03 8.151580914207414708e-01
2.810000000000000000e+02 1.000000000000000000e+00 1.823154056517775710e-03 8.134660486407554458e-01
2.820000000000000000e+02 1.000000000000000000e+00 2.278942570647219529e-03 8.120519427847554539e-01
2.830000000000000000e+02 1.000000000000000000e+00 2.734731084776663781e-03 8.112786036447445781e-01
2.840000000000000000e+02 1.000000000000000000e+00 3.190519598906107600e-03 8.097265468782524067e-01
2.850000000000000000e+02 1.000000000000000000e+00 3.646308113035551420e-03 8.088869215262448620e-01
2.860000000000000000e+02 1.000000000000000000e+00 4.102096627164995672e-03 8.083101151902454262e-01
2.870000000000000000e+02 1.000000000000000000e+00 4.557885141294439058e-03 8.070935596897470532e-01
2.880000000000000000e+02 1.000000000000000000e+00 5.013673655423883310e-03 8.059477967007495636e-01
2.890000000000000000e+02 1.000000000000000000e+00 5.469462169553327563e-03 8.045911098222475744e-01
2.900000000000000000e+02 1.000000000000000000e+00 5.925250683682770948e-03 8.040224438982477295e-01
2.910000000000000000e+02 1.000000000000000000e+00 6.381039197812215201e-03 8.023216792482443793e-01
2.920000000000000000e+02 1.000000000000000000e+00 6.836827711941658586e-03 8.019422779032439053e-01
2.930000000000000000e+02 1.000000000000000000e+00 7.292616226071102839e-03 8.007690410237486844e-01
2.940000000000000000e+02 1.000000000000000000e+00 7.748404740200547092e-03 8.004214745042474988e-01
2.950000000000000000e+02 1.000000000000000000e+00 8.204193254329991344e-03 8.003282958597566221e-01
2.960000000000000000e+02 1.000000000000000000e+00 8.659981768459433862e-03 7.996343257367541923e-01
2.970000000000000000e+02 1.000000000000000000e+00 9.115770282588878115e-03 7.997737302922516278e-01
2.980000000000000000e+02 1.000000000000000000e+00 9.571558796718322368e-03 7.998850794992478086e-01
2.990000000000000000e+02 1.000000000000000000e+00 1.002734731084776662e-02 7.998924930887483242e-01
3.000000000000000000e+02 1.000000000000000000e+00 1.048313582497721087e-02 7.992270144077480154e-01
3.010000000000000000e+02 1.000000000000000000e+00 1.093892433910665513e-02 8.000872815187491938e-01
3.020000000000000000e+02 1.000000000000000000e+00 1.139471285323609764e-02 8.000355317567482416e-01
3.030000000000000000e+02 1.000000000000000000e+00 1.185050136736554190e-02 8.045097057022516651e-01
3.040000000000000000e+02 1.000000000000000000e+00 1.230628988149498615e-02 8.518139349786650882e-01
3.050000000000000000e+02 1.000000000000000000e+00 1.276207839562443040e-02 8.519348782426661160e-01
3.060000000000000000e+02 1.000000000000000000e+00 1.321786690975387465e-02 8.528841084276663764e-01
3.070000000000000000e+02 1.000000000000000000e+00 1.367365542388331717e-02 8.544459046156660520e-01
3.080000000000000000e+02 1.000000000000000000e+00 1.412944393801276143e-02 8.553332095236712007e-01
3.090000000000000000e+02 1.000000000000000000e+00 1.458523245214220568e-02 8.564670526236710657e-01
3.100000000000000000e+02 1.000000000000000000e+00 1.504102096627164993e-02 8.584245309806703972e-01
3.110000000000000000e+02 1.000000000000000000e+00 1.549680948040109418e-02 8.601741381026712929e-01
3.120000000000000000e+02 1.000000000000000000e+00 1.595259799453053670e-02 8.616024896796687926e-01
3.130000000000000000e+02 1.000000000000000000e+00 1.640838650865998269e-02 8.636436979886710219e-01
3.140000000000000000e+02 1.000000000000000000e+00 1.686417502278942521e-02 8.651700252386689272e-01
3.150000000000000000e+02 1.000000000000000000e+00 1.731996353691886772e-02 8.666158205556726557e-01
3.160000000000000000e+02 1.000000000000000000e+00 1.777575205104831371e-02 8.687297111146747852e-01
3.170000000000000000e+02 1.000000000000000000e+00 1.823154056517775623e-02 8.706357304386713736e-01
3.180000000000000000e+02 1.000000000000000000e+00 1.868732907930720222e-02 8.729478981756741973e-01
3.190000000000000000e+02 1.000000000000000000e+00 1.914311759343664474e-02 8.755874267666712285e-01
3.200000000000000000e+02 1.000000000000000000e+00 1.959890610756608725e-02 8.792395644646688879e-01
3.210000000000000000e+02 1.000000000000000000e+00 2.005469462169553324e-02 8.817148311706688446e-01
3.220000000000000000e+02 1.000000000000000000e+00 2.051048313582497576e-02 8.845735694276726235e-01
3.230000000000000000e+02 1.000000000000000000e+00 2.096627164995442175e-02 8.864670874046680638e-01
3.240000000000000000e+02 1.000000000000000000e+00 2.142206016408386426e-02 8.898293682896749601e-01
3.250000000000000000e+02 1.000000000000000000e+00 2.187784867821331025e-02 8.928049796046693132e-01
3.260000000000000000e+02 1.000000000000000000e+00 2.233363719234275277e-02 8.949703291966741858e-01
3.270000000000000000e+02 1.000000000000000000e+00 2.278942570647219529e-02 8.984593679256747123e-01
3.280000000000000000e+02 1.000000000000000000e+00 2.324521422060164128e-02 9.011486111756639161e-01
3.290000000000000000e+02 1.000000000000000000e+00 2.370100273473108379e-02 9.041245132196706891e-01
3.300000000000000000e+02 1.000000000000000000e+00 2.415679124886052978e-02 9.073425925206706211e-01
3.310000000000000000e+02 1.000000000000000000e+00 2.461257976298997230e-02 9.105042703956698347e-01
3.320000000000000000e+02 1.000000000000000000e+00 2.506836827711941482e-02 9.136153614246751431e-01
3.330000000000000000e+02 1.000000000000000000e+00 2.552415679124886080e-02 9.177658086286726302e-01
3.340000000000000000e+02 1.000000000000000000e+00 2.597994530537830332e-02 9.212731632846669072e-01
3.350000000000000000e+02 1.000000000000000000e+00 2.643573381950774931e-02 9.245211876726742162e-01
3.360000000000000000e+02 1.000000000000000000e+00 2.689152233363719183e-02 9.283227600766679188e-01
3.370000000000000000e+02 1.000000000000000000e+00 2.734731084776663435e-02 9.323473216236664030e-01
3.380000000000000000e+02 1.000000000000000000e+00 2.780309936189608033e-02 9.358133927616663073e-01
3.390000000000000000e+02 1.000000000000000000e+00 2.825888787602552285e-02 9.393227825206693637e-01
3.400000000000000000e+02 1.000000000000000000e+00 2.871467639015496884e-02 9.437819839226690988e-01
3.410000000000000000e+02 1.000000000000000000e+00 2.917046490428441136e-02 9.471774079136636715e-01
3.420000000000000000e+02 1.000000000000000000e+00 2.962625341841385387e-02 9.511935383196714611e-01
3.430000000000000000e+02 1.000000000000000000e+00 3.008204193254329986e-02 9.551500692806769166e-01
3.440000000000000000e+02 1.000000000000000000e+00 3.053783044667274238e-02 9.590522339186691170e-01
3.450000000000000000e+02 1.000000000000000000e+00 3.099361896080218837e-02 9.626398297786735725e-01
3.460000000000000000e+02 1.000000000000000000e+00 3.144940747493163435e-02 9.669937872826679381e-01
3.470000000000000000e+02 1.000000000000000000e+00 3.190519598906107340e-02 9.705488214946740300e-01
3.480000000000000000e+02 1.000000000000000000e+00 3.236098450319051939e-02 9.749937771756691518e-01
3.490000000000000000e+02 1.000000000000000000e+00 3.281677301731996538e-02 9.794143116206655009e-01
3.500000000000000000e+02 1.000000000000000000e+00 3.327256153144940443e-02 9.828748589076710118e-01
3.510000000000000000e+02 1.000000000000000000e+00 3.372835004557885041e-02 9.870314114206735212e-01
3.520000000000000000e+02 1.000000000000000000e+00 3.418413855970829640e-02 9.912859396066693307e-01
3.530000000000000000e+02 1.000000000000000000e+00 3.463992707383773545e-02 9.963094459976744588e-01
3.540000000000000000e+02 1.000000000000000000e+00 3.509571558796718144e-02 1.000503793280664411e+00
3.550000000000000000e+02 1.000000000000000000e+00 3.555150410209662742e-02 1.005504332080668917e+00
3.560000000000000000e+02 1.000000000000000000e+00 3.600729261622607341e-02 1.009908585701673189e+00
3.570000000000000000e+02 1.000000000000000000e+00 3.646308113035551246e-02 1.015577510472667200e+00
3.580000000000000000e+02 1.000000000000000000e+00 3.691886964448495845e-02 1.020740276054674212e+00
3.590000000000000000e+02 1.000000000000000000e+00 3.737465815861440444e-02 1.027236034101669304e+00
3.600000000000000000e+02 1.000000000000000000e+00 3.783044667274384348e-02 1.031051852226667620e+00
3.610000000000000000e+02 1.000000000000000000e+00 3.828623518687328947e-02 1.036177985954672920e+00
3.620000000000000000e+02 1.000000000000000000e+00 3.874202370100273546e-02 1.042079203196671244e+00
3.630000000000000000e+02 1.000000000000000000e+00 3.919781221513217451e-02 1.047547815686677097e+00
3.640000000000000000e+02 1.000000000000000000e+00 3.965360072926162049e-02 1.053307738634664759e+00
3.650000000000000000e+02 1.000000000000000000e+00 4.010938924339106648e-02 1.058677503264668474e+00
3.660000000000000000e+02 1.000000000000000000e+00 4.056517775752051247e-02 1.064438007670666764e+00
