l0 kb T costheta_s kappa theta_s lp Tr lp_se
1.0 1.0 0.01 0.9 300 0.4510268117962624 99.27169753278451 0.01 0.242815185560395
1.0 1.0 0.01 0.9 1200 0.4510268117962624 99.68089137179655 0.01 0.21281295232329436
1.0 1.0 0.02 0.9 300 0.4510268117962624 49.53019014124219 0.02 0.10003045819586616
1.0 1.0 0.02 0.9 1200 0.4510268117962624 49.46536845078782 0.02 0.08946367822936716
1.0 1.0 0.03 0.9 300 0.4510268117962624 32.7962115660263 0.03 0.056017074086598735
1.0 1.0 0.03 0.9 1200 0.4510268117962624 32.955715711535134 0.03 0.04641168000972702
1.0 1.0 0.04 0.9 300 0.4510268117962624 24.522941597942307 0.04 0.04093138125906525
1.0 1.0 0.04 0.9 1200 0.4510268117962624 24.5321517184804 0.04 0.04283751990619286
1.0 1.0 0.05 0.9 300 0.4510268117962624 19.422119660155946 0.049999999999999996 0.05462307505244492
1.0 1.0 0.05 0.9 1200 0.4510268117962624 19.488777954764736 0.049999999999999996 0.027991651970043222
1.0 1.0 0.075 0.9 300 0.4510268117962624 12.838813517701947 0.075 0.030299912929367647
1.0 1.0 0.075 0.9 1200 0.4510268117962624 12.80349624422393 0.075 0.032469489806876285
1.0 1.0 0.1 0.9 300 0.4510268117962624 9.538359625045919 0.09999999999999999 0.01679522035042958
1.0 1.0 0.1 0.9 1200 0.4510268117962624 9.508912738341479 0.09999999999999999 0.017808196226811266
1.0 1.0 0.15 0.9 300 0.4510268117962624 6.199654725059548 0.15 0.016201263445718962
1.0 1.0 0.15 0.9 1200 0.4510268117962624 6.150692240704479 0.15 0.01729461806761711
1.0 1.0 0.2 0.9 300 0.4510268117962624 4.465869958967195 0.19999999999999998 0.0087758883620892
1.0 1.0 0.2 0.9 1200 0.4510268117962624 4.486343922720272 0.19999999999999998 0.014826125960209813
1.0 1.0 0.25 0.9 300 0.4510268117962624 3.486468533310068 0.25 0.004336175018979422
1.0 1.0 0.25 0.9 1200 0.4510268117962624 3.4940343786038746 0.25 0.012159431761651275
1.0 1.0 0.3 0.9 300 0.4510268117962624 2.853142822758633 0.3 0.011876434395224289
1.0 1.0 0.3 0.9 1200 0.4510268117962624 2.829684781477606 0.3 0.010991679928012803
1.0 1.0 0.4 0.9 300 0.4510268117962624 2.0579949562168918 0.39999999999999997 0.019036484260857134
1.0 1.0 0.4 0.9 1200 0.4510268117962624 2.036254264968315 0.39999999999999997 0.01302780843760898
1.0 1.0 0.6 0.9 300 0.4510268117962624 1.2948503275043663 0.6 0.033534069135821354
1.0 1.0 0.6 0.9 1200 0.4510268117962624 1.277469053211997 0.6 0.04651720578021601
1.0 1.0 1.0 0.9 300 0.4510268117962624 1.0215389128019698 1.0 0.05161175678974171
1.0 1.0 1.0 0.9 1200 0.4510268117962624 1.0232593748347325 1.0 0.042174027446521906
1.0 2.0 0.01 0.9 300 0.4510268117962624 199.61016485976228 0.005 0.35743874600466374
1.0 2.0 0.01 0.9 1200 0.4510268117962624 200.25602252945677 0.005 0.5338625932820574
1.0 2.0 0.02 0.9 300 0.4510268117962624 99.56208553499468 0.01 0.17950998719153471
