l0 kb T theta_s kappa costheta Tr costheta_se
1.0 1.0 0.01 0.4510268117962624 300 0.9499952898997678 0.009999999999999822 2.5688728332136777e-05
1.0 1.0 0.01 0.4510268117962624 1200 0.9499573312788917 0.009999999999999822 2.563751615397102e-05
1.0 1.0 0.02 0.4510268117962624 300 0.950002486842108 0.019999999999999643 2.6005800441599788e-05
1.0 1.0 0.02 0.4510268117962624 1200 0.9500114326848241 0.019999999999999643 2.5556126542507122e-05
1.0 1.0 0.03 0.4510268117962624 300 0.9500133723816919 0.030000000000000547 2.575479082244067e-05
1.0 1.0 0.03 0.4510268117962624 1200 0.9499861258687259 0.03000000000000055 2.4832243736341e-05
1.0 1.0 0.04 0.4510268117962624 300 0.9499654082733812 0.03999999999999931 2.634617446300387e-05
1.0 1.0 0.04 0.4510268117962624 1200 0.9499987823529412 0.039999999999999356 3.240943744448101e-05
1.0 1.0 0.05 0.4510268117962624 300 0.9500279325657888 0.04999999999999891 2.6207093409185953e-05
1.0 1.0 0.05 0.4510268117962624 1200 0.9500046670281997 0.049999999999999475 3.176597483129704e-05
1.0 1.0 0.075 0.4510268117962624 300 0.9500111463046742 0.07500000000000176 2.5874015273855358e-05
1.0 1.0 0.075 0.4510268117962624 1200 0.9499754374384247 0.07500000000000143 3.008055536224244e-05
1.0 1.0 0.1 0.4510268117962624 300 0.9490681395939076 0.09999999999999794 4.230350697049409e-05
1.0 1.0 0.1 0.4510268117962624 1200 0.949123733549084 0.09999999999999892 4.567567430810083e-05
1.0 1.0 0.15 0.4510268117962624 300 0.9264229272030637 0.1500000000000035 0.00014718519031170773
1.0 1.0 0.15 0.4510268117962624 1200 0.9264479676113365 0.15000000000000277 0.00018453358443142832
1.0 1.0 0.2 0.4510268117962624 300 0.8366457382256288 0.199999999999998 0.00038321929800207166
1.0 1.0 0.2 0.4510268117962624 1200 0.8359730152990257 0.20000000000000054 0.00041847077280298935
1.0 1.0 0.25 0.4510268117962624 300 0.6912234870588232 0.25 0.0005680646986971217
1.0 1.0 0.25 0.4510268117962624 1200 0.6925283115264808 0.25 0.0006472997317691167
1.0 1.0 0.3 0.4510268117962624 300 0.5459110852994563 0.30000000000000615 0.0005660072709619278
1.0 1.0 0.3 0.4510268117962624 1200 0.5455020397111916 0.3000000000000045 0.0006646575762882579
1.0 1.0 0.4 0.4510268117962624 300 0.34049041086350945 0.4000000000000011 0.000745858042518224
