dir kb Lx Tm I Em Tm2 I2 Em2
SandP_kb0.50_like10.00/ 0.5 11.157216 0.15651591332133213 193717.58428249822 -381.4608222502616 0 0 0
SandP_kb0.50_like10.25/ 0.5 11.436146 0.1352888500450045 50913.93251498122 -410.5288993546505 0 0 0
SandP_kb10.0_like10.00/ 10.0 11.157216 5.373746666666667 95369.46193846945 -7432.278159458579 0 0 0
SandP_kb100._like10.00/ 100.0 11.157216 53.78647128712871 97127.80342859808 -74181.84230407093 0 0 0
SandP_kb10.0_like10.25/ 10.0 11.436146 4.646378085808581 37255.338005426645 -7645.91520749498 0 0 0
SandP_kb100._like10.25/ 100.0 11.436146 46.260761716171615 36366.22136058119 -76599.17377745906 0 0 0
SandP_kb2.00_like10.00/ 2 11.157216 0.6307660302030202 182058.03544933023 -1525.8665578021876 0 0 0
SandP_kb2.00_like10.25/ 2 11.436146 0.5406577401740174 50134.88835366789 -1646.3648004098443 0 0 0
SandP_Nc125_like10.00/ 1.0 11.157216 0.31548302430243025 186736.63953763142 -758.811265002692 0 0 0
SandP_Nc125_like10.25/ 1.0 11.436146 0.2711289436943694 50237.35355467698 -821.8556223534861 0 0 0
SandP_Nc125_like10.30/ 1.0 11.491932 0.26527840544054404 39124.182373627875 -831.8536675091015 0 0 0
SandP_Nc125_like10.33/ 1.0 11.525404 0.2631782122212221 32571.86250740821 -831.269176712578 0 0 0
SandP_Nc125_like10.50/ 1.0 11.715077 0.24572660666066606 18227.328293412513 -864.6615315833535 0 0 0
HTH_kb1.00_like10.00/ 1.0 11.157216 0.16384138413875848 5511.127125407762 133.85929630700278 0.14491449144956525 1244.9703377094952 86.05976891184785
HTH_kb1.00_like10.25/ 1.0 11.436146 0.1361636163620915 4436.687662713769 113.0047756885901 0.048154815482355534 41.84429579409368 30.460252365572316
HTH_kb1.00_like10.50/ 1.0 11.715077 0.11726172617314821 2566.3082701572926 100.38303467356009 0.025427542755173716 13.551273427202318 19.03065346777855
HTH_kb1.00_lx13.00/ 1.0 13.0 0.04900490049085299 410.0098092430321 45.780946754129445 0 0 0
