P2 Q6 xi delF
3.730000000000000000e+02 1.000000000000000000e+00 0.000000000000000000e+00 3.462845334370783235e-01
3.740000000000000000e+02 1.000000000000000000e+00 4.500450045004500258e-04 3.464684195295788527e-01
3.750000000000000000e+02 1.000000000000000000e+00 9.000900090009000517e-04 3.463951073667459468e-01
3.760000000000000000e+02 1.000000000000000000e+00 1.350135013501350132e-03 3.469289342655841324e-01
3.770000000000000000e+02 1.000000000000000000e+00 1.800180018001800103e-03 3.467960711125783746e-01
3.780000000000000000e+02 1.000000000000000000e+00 2.250225022502250292e-03 3.476684034770869403e-01
3.790000000000000000e+02 1.000000000000000000e+00 2.700270027002700263e-03 3.480490161929097326e-01
3.800000000000000000e+02 1.000000000000000000e+00 3.150315031503150235e-03 3.486153562849096943e-01
3.810000000000000000e+02 1.000000000000000000e+00 3.600360036003600207e-03 3.488689688825843405e-01
3.820000000000000000e+02 1.000000000000000000e+00 4.050405040504050612e-03 3.498892823080765879e-01
3.830000000000000000e+02 1.000000000000000000e+00 4.500450045004500584e-03 3.500840222832550808e-01
3.840000000000000000e+02 1.000000000000000000e+00 4.950495049504950555e-03 3.510487580149117548e-01
3.850000000000000000e+02 1.000000000000000000e+00 5.400540054005400527e-03 3.523520961219119840e-01
3.860000000000000000e+02 1.000000000000000000e+00 5.850585058505850498e-03 3.568183719295845435e-01
3.870000000000000000e+02 1.000000000000000000e+00 6.300630063006300470e-03 3.556513391324003237e-01
3.880000000000000000e+02 1.000000000000000000e+00 6.750675067506750442e-03 3.568014630563922651e-01
3.890000000000000000e+02 1.000000000000000000e+00 7.200720072007200413e-03 3.580706889607228049e-01
3.900000000000000000e+02 1.000000000000000000e+00 7.650765076507650385e-03 3.594412823763946108e-01
3.910000000000000000e+02 1.000000000000000000e+00 8.100810081008101224e-03 3.608784527330684000e-01
3.920000000000000000e+02 1.000000000000000000e+00 8.550855085508551195e-03 3.621148262603881562e-01
3.930000000000000000e+02 1.000000000000000000e+00 9.000900090009001167e-03 3.637417457443987701e-01
3.940000000000000000e+02 1.000000000000000000e+00 9.450945094509451139e-03 3.653147834537264771e-01
3.950000000000000000e+02 1.000000000000000000e+00 9.900990099009901110e-03 3.672263266287387751e-01
3.960000000000000000e+02 1.000000000000000000e+00 1.035103510351035108e-02 3.692066756670584482e-01
3.970000000000000000e+02 1.000000000000000000e+00 1.080108010801080105e-02 3.700481423027284222e-01
3.980000000000000000e+02 1.000000000000000000e+00 1.125112511251125103e-02 3.725943468847248141e-01
3.990000000000000000e+02 1.000000000000000000e+00 1.170117011701170100e-02 3.739298590010591283e-01
4.000000000000000000e+02 1.000000000000000000e+00 1.215121512151215097e-02 3.761245722220536436e-01
4.010000000000000000e+02 1.000000000000000000e+00 1.260126012601260094e-02 3.781004634157270061e-01
4.020000000000000000e+02 1.000000000000000000e+00 1.305130513051305091e-02 3.803195978727345050e-01
4.030000000000000000e+02 1.000000000000000000e+00 1.350135013501350088e-02 3.825674175910691588e-01
4.040000000000000000e+02 1.000000000000000000e+00 1.395139513951395085e-02 3.846323687683934622e-01
4.050000000000000000e+02 1.000000000000000000e+00 1.440144014401440083e-02 3.864115333387303508e-01
4.060000000000000000e+02 1.000000000000000000e+00 1.485148514851485080e-02 3.889318630397298193e-01
4.070000000000000000e+02 1.000000000000000000e+00 1.530153015301530077e-02 3.910066990030642842e-01
4.080000000000000000e+02 1.000000000000000000e+00 1.575157515751575074e-02 3.934914628563959127e-01
4.090000000000000000e+02 1.000000000000000000e+00 1.620162016201620245e-02 3.960229371690573430e-01
4.100000000000000000e+02 1.000000000000000000e+00 1.665166516651665068e-02 3.984667082333928079e-01
4.110000000000000000e+02 1.000000000000000000e+00 1.710171017101710239e-02 4.010101993447250379e-01
4.120000000000000000e+02 1.000000000000000000e+00 1.755175517551755063e-02 4.040835925133876572e-01
4.130000000000000000e+02 1.000000000000000000e+00 1.800180018001800233e-02 4.063079600923913404e-01
4.140000000000000000e+02 1.000000000000000000e+00 1.845184518451845057e-02 4.089854772727363752e-01
4.150000000000000000e+02 1.000000000000000000e+00 1.890189018901890228e-02 4.118908290793825699e-01
4.160000000000000000e+02 1.000000000000000000e+00 1.935193519351935051e-02 4.149775957820622807e-01
4.170000000000000000e+02 1.000000000000000000e+00 1.980198019801980222e-02 4.177938876050575345e-01
4.180000000000000000e+02 1.000000000000000000e+00 2.025202520252025046e-02 4.205852736437307726e-01
4.190000000000000000e+02 1.000000000000000000e+00 2.070207020702070216e-02 4.236831849580582343e-01
4.200000000000000000e+02 1.000000000000000000e+00 2.115211521152115040e-02 4.261784150553964423e-01
4.210000000000000000e+02 1.000000000000000000e+00 2.160216021602160211e-02 4.301039349230606490e-01
4.220000000000000000e+02 1.000000000000000000e+00 2.205220522052205034e-02 4.329677124827213675e-01
4.230000000000000000e+02 1.000000000000000000e+00 2.250225022502250205e-02 4.361598199930583064e-01
4.240000000000000000e+02 1.000000000000000000e+00 2.295229522952295029e-02 4.397077797993915738e-01
4.250000000000000000e+02 1.000000000000000000e+00 2.340234023402340199e-02 4.431262682910670492e-01
4.260000000000000000e+02 1.000000000000000000e+00 2.385238523852385023e-02 4.466249979867242814e-01
4.270000000000000000e+02 1.000000000000000000e+00 2.430243024302430194e-02 4.502290684900600581e-01
4.280000000000000000e+02 1.000000000000000000e+00 2.475247524752475017e-02 4.540504104660598728e-01
4.290000000000000000e+02 1.000000000000000000e+00 2.520252025202520188e-02 4.575639673407252417e-01
4.300000000000000000e+02 1.000000000000000000e+00 2.565256525652565012e-02 4.607893148667301375e-01
4.310000000000000000e+02 1.000000000000000000e+00 2.610261026102610182e-02 4.645006643710587468e-01
4.320000000000000000e+02 1.000000000000000000e+00 2.655265526552655006e-02 4.683545679950640306e-01
4.330000000000000000e+02 1.000000000000000000e+00 2.700270027002700177e-02 4.722356063257251435e-01
4.340000000000000000e+02 1.000000000000000000e+00 2.745274527452745000e-02 4.756257971947235319e-01
4.350000000000000000e+02 1.000000000000000000e+00 2.790279027902790171e-02 4.792837494727208991e-01
4.360000000000000000e+02 1.000000000000000000e+00 2.835283528352834995e-02 4.832150839203919190e-01
4.370000000000000000e+02 1.000000000000000000e+00 2.880288028802880165e-02 4.866937533150661466e-01
4.380000000000000000e+02 1.000000000000000000e+00 2.925292529252925336e-02 4.903507364963957116e-01
4.390000000000000000e+02 1.000000000000000000e+00 2.970297029702970160e-02 4.948351344117227768e-01
4.400000000000000000e+02 1.000000000000000000e+00 3.015301530153015330e-02 4.986481421563979666e-01
4.410000000000000000e+02 1.000000000000000000e+00 3.060306030603060154e-02 5.029010228780492753e-01
4.420000000000000000e+02 1.000000000000000000e+00 3.105310531053105325e-02 5.063996556640617541e-01
4.430000000000000000e+02 1.000000000000000000e+00 3.150315031503150148e-02 5.106524394760612040e-01
4.440000000000000000e+02 1.000000000000000000e+00 3.195319531953195319e-02 5.144422858103894214e-01
4.450000000000000000e+02 1.000000000000000000e+00 3.240324032403240490e-02 5.186860570233946532e-01
4.460000000000000000e+02 1.000000000000000000e+00 3.285328532853284966e-02 5.222696795870618303e-01
4.470000000000000000e+02 1.000000000000000000e+00 3.330333033303330137e-02 5.266248000070632429e-01
4.480000000000000000e+02 1.000000000000000000e+00 3.375337533753375308e-02 5.308608184467260571e-01
4.490000000000000000e+02 1.000000000000000000e+00 3.420342034203420478e-02 5.350553595490623593e-01
4.500000000000000000e+02 1.000000000000000000e+00 3.465346534653464955e-02 5.395806533437408348e-01
4.510000000000000000e+02 1.000000000000000000e+00 3.510351035103510126e-02 5.434085851770618092e-01
4.520000000000000000e+02 1.000000000000000000e+00 3.555355535553555296e-02 5.488400812647284965e-01
4.530000000000000000e+02 1.000000000000000000e+00 3.600360036003600467e-02 5.528824741904045936e-01
4.540000000000000000e+02 1.000000000000000000e+00 3.645364536453644944e-02 5.573751094273973195e-01
4.550000000000000000e+02 1.000000000000000000e+00 3.690369036903690114e-02 5.622527667700509824e-01
4.560000000000000000e+02 1.000000000000000000e+00 3.735373537353735285e-02 5.668456066023921380e-01
4.570000000000000000e+02 1.000000000000000000e+00 3.780378037803780455e-02 5.721572254323987750e-01
4.580000000000000000e+02 1.000000000000000000e+00 3.825382538253824932e-02 5.763753155837321174e-01
4.590000000000000000e+02 1.000000000000000000e+00 3.870387038703870103e-02 5.812274856840602411e-01
4.600000000000000000e+02 1.000000000000000000e+00 3.915391539153915273e-02 5.860927385893930364e-01
4.610000000000000000e+02 1.000000000000000000e+00 3.960396039603960444e-02 5.904838124957265677e-01
4.620000000000000000e+02 1.000000000000000000e+00 4.005400540054004921e-02 5.957028825940753336e-01
4.630000000000000000e+02 1.000000000000000000e+00 4.050405040504050092e-02 6.008637099827325301e-01
4.640000000000000000e+02 1.000000000000000000e+00 4.095409540954095262e-02 6.124162401547295076e-01
4.650000000000000000e+02 1.000000000000000000e+00 4.140414041404140433e-02 6.139099573018995670e-01
4.660000000000000000e+02 1.000000000000000000e+00 4.185418541854184910e-02 6.184542453912271753e-01
4.670000000000000000e+02 1.000000000000000000e+00 4.230423042304230080e-02 6.239461162012318596e-01
4.680000000000000000e+02 1.000000000000000000e+00 4.275427542754275251e-02 6.293985447769046004e-01
4.690000000000000000e+02 1.000000000000000000e+00 4.320432043204320421e-02 6.351776073840653680e-01
4.700000000000000000e+02 1.000000000000000000e+00 4.365436543654365592e-02 6.406141912292397933e-01
4.710000000000000000e+02 1.000000000000000000e+00 4.410441044104410069e-02 6.461457465477167261e-01
4.720000000000000000e+02 1.000000000000000000e+00 4.455445544554455239e-02 6.518452947734019176e-01
4.730000000000000000e+02 1.000000000000000000e+00 4.500450045004500410e-02 6.574095571043940822e-01
4.740000000000000000e+02 1.000000000000000000e+00 4.545454545454545581e-02 6.628477884138987974e-01
4.750000000000000000e+02 1.000000000000000000e+00 4.590459045904590057e-02 6.686025266947339674e-01
4.760000000000000000e+02 1.000000000000000000e+00 4.635463546354635228e-02 6.744926477799069175e-01
4.770000000000000000e+02 2.000000000000000000e+00 4.680468046804680399e-02 6.799224479483996220e-01
4.780000000000000000e+02 2.000000000000000000e+00 4.725472547254725569e-02 6.850256140854042997e-01
4.790000000000000000e+02 2.000000000000000000e+00 4.770477047704770046e-02 6.902979845003969217e-01
4.800000000000000000e+02 2.000000000000000000e+00 4.815481548154815217e-02 6.956948353822340891e-01
4.810000000000000000e+02 2.000000000000000000e+00 4.860486048604860387e-02 7.009823237052330569e-01
4.820000000000000000e+02 2.000000000000000000e+00 4.905490549054905558e-02 7.066683530323984996e-01
4.830000000000000000e+02 2.000000000000000000e+00 4.950495049504950035e-02 7.118729351355597146e-01
4.840000000000000000e+02 2.000000000000000000e+00 4.995499549954995205e-02 7.173412568965531477e-01
4.850000000000000000e+02 2.000000000000000000e+00 5.040504050405040376e-02 7.226224945460586468e-01
4.860000000000000000e+02 2.000000000000000000e+00 5.085508550855085547e-02 7.279186562842383523e-01
4.870000000000000000e+02 2.000000000000000000e+00 5.130513051305130023e-02 7.336997055395642064e-01
4.880000000000000000e+02 2.000000000000000000e+00 5.175517551755175194e-02 7.401297103777295661e-01
4.890000000000000000e+02 2.000000000000000000e+00 5.220522052205220365e-02 7.497572496675672937e-01
4.900000000000000000e+02 2.000000000000000000e+00 5.265526552655265535e-02 7.569211771297261748e-01
4.910000000000000000e+02 2.000000000000000000e+00 5.310531053105310012e-02 7.634587032430673048e-01
4.920000000000000000e+02 2.000000000000000000e+00 5.355535553555355183e-02 7.692753183460752098e-01
4.930000000000000000e+02 2.000000000000000000e+00 5.400540054005400353e-02 7.749812626097352108e-01
4.940000000000000000e+02 2.000000000000000000e+00 5.445544554455445524e-02 7.805005588553868279e-01
4.950000000000000000e+02 2.000000000000000000e+00 5.490549054905490001e-02 7.864592435297339534e-01
4.960000000000000000e+02 2.000000000000000000e+00 5.535553555355535171e-02 7.927476148900680641e-01
4.970000000000000000e+02 2.000000000000000000e+00 5.580558055805580342e-02 7.993028754724065266e-01
4.980000000000000000e+02 2.000000000000000000e+00 5.625562556255625513e-02 8.052179507967380800e-01
4.990000000000000000e+02 2.000000000000000000e+00 5.670567056705669989e-02 8.115485747717343656e-01
5.000000000000000000e+02 2.000000000000000000e+00 5.715571557155715160e-02 8.178950919320655544e-01
5.010000000000000000e+02 2.000000000000000000e+00 5.760576057605760331e-02 8.243612925307317596e-01
5.020000000000000000e+02 2.000000000000000000e+00 5.805580558055805501e-02 8.308433863147328680e-01
5.030000000000000000e+02 2.000000000000000000e+00 5.850585058505850672e-02 8.377651592564063776e-01
5.040000000000000000e+02 2.000000000000000000e+00 5.895589558955895149e-02 8.442252545460533497e-01
5.050000000000000000e+02 2.000000000000000000e+00 5.940594059405940319e-02 8.507440770937364505e-01
5.060000000000000000e+02 2.000000000000000000e+00 5.985598559855985490e-02 8.574581726197294529e-01
5.070000000000000000e+02 2.000000000000000000e+00 6.030603060306030661e-02 8.641394157687258826e-01
5.080000000000000000e+02 2.000000000000000000e+00 6.075607560756075137e-02 8.701200020277326530e-01
5.090000000000000000e+02 2.000000000000000000e+00 6.120612061206120308e-02 8.772340437480750097e-01
5.100000000000000000e+02 2.000000000000000000e+00 6.165616561656165479e-02 8.836715590853927438e-01
